gene	label	n_mut	n_wt	mean_mut	mean_wt	log2_fc	cohen_d	mw_p
BRAF	BRAF V600E carrier	273	182	5.456	5.472	-0.016	-0.044	0.5665668571635675
HRAS	RAS hotspot any	55	400	4.869	4.756	0.113	0.212	0.2421182916237976
NRAS	RAS hotspot any	55	400	5.272	5.314	-0.043	-0.102	0.30727065441950296
KRAS	RAS hotspot any	55	400	4.811	4.955	-0.144	-0.393	0.0039188042709323865
