gene	n_dm1	n_dm2	auc	cohen_d
BRAF	122	333	0.602	0.246
HRAS	122	333	0.5	0.034
NRAS	122	333	0.521	0.054
KRAS	122	333	0.525	0.116
TERT	122	333	0.578	0.223
