feature	mean	sd	positive_mean	negative_mean
mean_pLDDT_peptide	40.405247851406294	3.389499474648353	39.54365794463132	40.67132708732209
min_pLDDT_peptide	34.866355610697454	5.1693590638166524	33.60819291500818	35.25490585495444
mean_pLDDT_HLA	43.18858557636188	2.4974367743402643	43.03422108376059	43.236256963782864
anchor_pLDDT	40.65597588091754	3.169272684652613	40.58623370670137	40.677513905307826
interface_contacts_8A	4.0	7.7576941278847915	3.619047619047619	4.117647058823529
interface_contacts_10A	11.98876404494382	14.708913795585493	10.80952380952381	12.352941176470589
n_buried_residues_8A	0.7865168539325843	1.879747989107483	0.42857142857142855	0.8970588235294118
mean_min_pep_to_hla_CA_dist	10.656747464383587	2.253639690990265	11.03615140914917	10.539578599088332
max_min_pep_to_hla_CA_dist	13.576205633999257	2.7625585762103397	13.937319074358259	13.464685306829566
radius_of_gyration_peptide	7.127830703606766	1.0808358059963115	6.8903532936459495	7.20116931550643
end_to_end_CA_dist	21.244190644682124	4.12937909014604	20.57766478402274	21.450029513415167
peptide_helicity_proxy	0.13964686998394862	0.30003759752113024	0.19047619047619047	0.12394957983193275
