plate_v4_arm	candidate_success_rate	unlock_probability	threshold_successes	n_candidates	endpoint
B_mechanism_TCR_MD	0.59	0.8319	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.6	0.84	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.61	0.8479	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.62	0.8556	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.63	0.8631	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.64	0.8704000000000001	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.65	0.8775	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.66	0.8844000000000001	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.67	0.8911	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.68	0.8976000000000001	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.6900000000000001	0.9039	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.7000000000000001	0.91	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.71	0.9159	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.72	0.9216	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.73	0.9270999999999999	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.74	0.9324	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.75	0.9375	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.76	0.9424	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.77	0.9470999999999999	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.78	0.9516	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.79	0.9559000000000001	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.8	0.9600000000000001	1	2	pMHC_binding_plus_TCR_readout
B_mechanism_TCR_MD	0.81	0.9639	1	2	pMHC_binding_plus_TCR_readout
