stratum	n	n_pos	auroc	auroc_boot_mean	ci_lo	ci_hi
itsndb_all	311	130	0.510284742881428	0.5113445106320216	0.44278335138731834	0.572664756339297
itsndb_in_master_TRUE	208	98	0.59860853432282	0.6015670783326947	0.5231875976554702	0.6769811979367887
itsndb_in_master_FALSE_no_overlap	103	32	0.3182218309859155	0.3166562531318969	0.21458691174416983	0.43073676323676324
