test	n_train	n_test	n_pos_test	AUROC	AUPRC
train_in_master__test_no_overlap	208	103	32	0.5743838028169014	0.40105822904313587
train_in_master__test_strict_no_tcr_self_exact	208	89	21	0.48039215686274506	0.24927682201089885
