cancer	n	dm1_overlap	dm2_overlap	dm_score_corr	cluster_delta
THCA	392	18	18	1.0	2.77270245552063
LUAD	236	16	16	0.9999999999999999	3.3378477096557617
COAD	372	14	14	1.0	1.8639326095581055
LGG	142	14	14	1.0	1.0780186653137207
SKCM	212	6	6	1.0	1.6990396976470947
