sample_id	v17_dark_cluster	CD274	PDCD1	CTLA4	IDO1	HLA-A	HLA-B	HLA-C	B2M	cytolytic_score
TCGA-FK-A3SE-01A	DM1	1.8963625782082856	0.557719432427687	0.4209718504866734	0.557719432427687	8.944357666810008	8.785999587243216	8.77272899839853	10.739499567068066	0.8385221673361427
TCGA-FY-A2QD-01A	DM2	1.5418032043794372	0.3657380680802252	0.0257854495547487	2.286072417262272	8.66649919633905	7.44262917787498	7.004802161275486	10.35234991647152	0.5537850690370347
TCGA-EL-A4KD-01A	DM1	3.026555280096879	1.3217019286799192	1.1334732859628385	1.5611777550592856	9.540720158027808	9.91063719884257	9.701728913742068	10.880685209397951	2.636078154583899
TCGA-BJ-A192-01A	DM2	2.825663125265209	0.0240007489024383	0.047608745056842	1.3275540661870138	9.312369322504615	9.165136118931194	8.84896781834431	9.585301103362776	1.3253437725973478
TCGA-ET-A40S-01A	DM1	4.024433288960914	2.610056311681344	2.399353757461585	2.3155257162157623	10.789047358888864	11.80266739107912	11.457035211336906	12.562908652774228	3.4297811247413446
TCGA-ET-A39L-01A	DM1	1.6028726340338209	0.9662176652320098	0.1006425187626716	0.6448317890399652	9.131714042063363	9.209131186307658	9.35162384827909	10.367156691263611	2.37656350208285
TCGA-KS-A4IB-01A	DM1	3.4742577019334857	0.6831182296469401	0.190688366425422	0.4892732459067948	9.863996545056056	10.720993308046186	9.703504433374526	11.516354405924186	1.3333939800265622
TCGA-DJ-A2PO-01A	DM1	4.110402447143045	2.80782469219094	1.433153102313277	1.6282817609594704	11.134815948547097	11.882665919053608	10.903919717025586	12.452088172575325	3.728816250122314
TCGA-EM-A2CJ-01A	DM2	1.5799977021897935	0.7639538347869681	0.0249627959867905	0.8641860095683767	8.195168183881488	8.433764771585084	8.846774767798546	9.851053541685214	0.7105866788808051
TCGA-DJ-A1QL-01A	DM2	1.3661482877018536	0.8322210415955105	0.024271083779911	0.9509281591628884	9.346720671694785	9.894351601625186	9.01656399366915	10.054415702465032	2.3980333392954813
TCGA-EM-A1CS-01A	DM1	3.353193649010132	0.5398908137861961	0.1365620783177284	1.1687202167682174	9.161484124149142	9.856215847315898	9.351726376722915	10.651623670269538	1.5329291992822593
