sample_id	cluster	tf	activity
TCGA-FK-A3SE-01A	DM1	PAX8	8.066429863447706
TCGA-FY-A2QD-01A	DM2	PAX8	10.189867605139924
TCGA-EL-A4KD-01A	DM1	PAX8	8.666414148464362
TCGA-BJ-A192-01A	DM2	PAX8	8.94602368596064
TCGA-ET-A40S-01A	DM1	PAX8	7.252624245419749
TCGA-ET-A39L-01A	DM1	PAX8	8.45642961336728
TCGA-KS-A4IB-01A	DM1	PAX8	6.290452194570192
TCGA-DJ-A2PO-01A	DM1	PAX8	7.139099941204756
TCGA-EM-A2CJ-01A	DM2	PAX8	10.01877161826484
TCGA-DJ-A1QL-01A	DM2	PAX8	9.658135948070806
TCGA-EM-A1CS-01A	DM1	PAX8	6.831952280014788
TCGA-CE-A484-01A	DM1	PAX8	7.687023310616838
TCGA-EL-A3ZP-01A	DM1	PAX8	7.513921192490827
TCGA-BJ-A0YZ-01A	DM2	PAX8	7.759201551103597
TCGA-FY-A3NM-01A	DM2	PAX8	10.845506751766528
TCGA-BJ-A3PR-01A	DM1	PAX8	7.91497965723876
TCGA-EL-A3CO-01A	DM1	PAX8	9.624338049947172
TCGA-CE-A482-01A	DM1	PAX8	6.432793993267489
TCGA-EM-A3FQ-01A	DM1	PAX8	8.518714757969041
TCGA-EL-A3GO-01A	DM2	PAX8	8.876321069402369
TCGA-DJ-A3UZ-01A	DM1	PAX8	8.779117978087788
TCGA-E8-A432-01A	DM1	PAX8	5.877489694890917
TCGA-DJ-A4UT-01A	DM1	PAX8	7.064892440107667
TCGA-ET-A40R-01A	DM1	PAX8	9.26957868787297
TCGA-EM-A3FR-01A	DM2	PAX8	9.121433128299877
TCGA-DJ-A4UQ-01A	DM1	PAX8	7.9280128966314445
TCGA-ET-A4KQ-01A	DM2	PAX8	9.68026499765336
TCGA-CE-A481-01A	DM1	PAX8	7.943682245041658
TCGA-EM-A2CP-01A	DM1	PAX8	9.13854945924071
TCGA-EL-A3H3-01A	DM1	PAX8	6.327222400906824
TCGA-EL-A3CS-01A	DM1	PAX8	5.707833429385214
TCGA-FK-A3SD-01A	DM2	PAX8	10.202813845660808
TCGA-DJ-A13W-01A	DM1	PAX8	7.122191166748446
TCGA-DJ-A13R-01A	DM1	PAX8	7.554107257504114
TCGA-EL-A3ZK-01A	DM1	PAX8	7.00291696263513
TCGA-ET-A3DS-01A	DM2	PAX8	11.05151846483117
TCGA-EL-A3D4-01A	DM1	PAX8	8.06569547145871
TCGA-EM-A3AN-01A	DM1	PAX8	7.488181270942046
TCGA-DE-A0Y2-01A	DM1	PAX8	6.075167099233429
TCGA-CE-A27D-01A	DM1	PAX8	9.279250820988835
TCGA-BJ-A0Z0-01A	DM2	PAX8	9.865062598063766
TCGA-FK-A4UB-01A	DM1	PAX8	7.024392213414697
TCGA-H2-A421-01A	DM1	PAX8	6.814973074151891
TCGA-CE-A483-01A	DM1	PAX8	6.879919555728579
TCGA-FY-A76V-01A	DM1	PAX8	8.06674962777583
TCGA-DO-A2HM-01B	DM1	PAX8	6.524780516760472
TCGA-EL-A3T0-01A	DM1	PAX8	8.823072986310041
TCGA-BJ-A0ZJ-01A	DM1	PAX8	8.626980855814283
TCGA-EL-A3T9-01A	DM1	PAX8	4.787542926174675
TCGA-EM-A1YD-01A	DM2	PAX8	10.459506692197236
TCGA-EL-A3H1-01A	DM2	PAX8	9.48299983708888
TCGA-DJ-A3VK-01A	DM1	PAX8	8.541443648389853
TCGA-EM-A4FR-01A	DM1	PAX8	8.569072937880378
TCGA-EL-A3ZR-01A	DM2	PAX8	8.77823547086229
TCGA-EM-A2P1-06A	DM1	PAX8	6.007263536976631
TCGA-ET-A39R-01A	DM1	PAX8	7.606528530128802
TCGA-ET-A3DR-01A	DM1	PAX8	8.941044816147258
TCGA-ET-A2N3-01B	DM2	PAX8	8.827548198233872
TCGA-CE-A485-01A	DM1	PAX8	7.493674199894123
TCGA-ET-A3DT-01A	DM1	PAX8	6.291865342918979
TCGA-CE-A13K-01A	DM1	PAX8	6.128115255348686
TCGA-DJ-A2Q9-01A	DM1	PAX8	7.132958639445804
TCGA-BJ-A190-01A	DM2	PAX8	10.241438410133163
TCGA-DE-A3KN-01A	DM1	PAX8	7.046884262150312
TCGA-EM-A3AL-01A	DM2	PAX8	10.041896600425453
TCGA-EM-A1YC-01A	DM2	PAX8	8.948651864875488
TCGA-BJ-A0Z5-01A	DM1	PAX8	6.879631118503059
TCGA-DO-A1JZ-01A	DM1	PAX8	6.276931054274345
TCGA-EM-A3AO-01A	DM1	PAX8	6.889859729649356
TCGA-EM-A1CW-01A	DM2	PAX8	9.564700960483082
TCGA-DJ-A3VM-01A	DM2	PAX8	7.875487903352438
TCGA-EM-A2CL-01A	DM2	PAX8	9.69780647573501
TCGA-ET-A40T-01A	DM1	PAX8	7.163168449262164
TCGA-BJ-A0ZF-01A	DM2	PAX8	8.579532150345822
TCGA-ET-A25L-01A	DM1	PAX8	5.984047625312503
TCGA-EM-A3FN-01A	DM2	PAX8	9.694968898404712
TCGA-EM-A1YA-01A	DM2	PAX8	8.922845484511129
TCGA-E3-A3E0-01A	DM1	PAX8	8.534334922075274
TCGA-BJ-A0ZC-01A	DM2	PAX8	9.927439306359076
TCGA-EM-A2CU-01A	DM1	PAX8	7.740379068708965
TCGA-DJ-A3V3-01A	DM1	PAX8	7.527480620122096
TCGA-BJ-A45K-01A	DM2	PAX8	9.301911397175312
TCGA-FY-A3R6-01A	DM1	PAX8	8.24958114919744
TCGA-IM-A41Z-01A	DM2	PAX8	8.483693865391004
TCGA-EL-A3CX-01A	DM1	PAX8	2.1303703927573916
TCGA-EM-A1YB-01A	DM2	PAX8	7.98866075350719
TCGA-ET-A3DV-01A	DM2	PAX8	9.521076839178107
TCGA-BJ-A28V-01A	DM2	PAX8	10.028421119146675
TCGA-EM-A3FP-01A	DM2	PAX8	9.519331027975657
TCGA-EM-A22N-01A	DM2	PAX8	10.130870319534834
TCGA-DJ-A3VL-01A	DM1	PAX8	8.682242306854011
TCGA-EM-A3FL-01A	DM2	PAX8	10.242353406845798
TCGA-EM-A2OY-01A	DM2	PAX8	9.763731629789037
TCGA-EM-A3AJ-01A	DM1	PAX8	8.421034452782367
TCGA-FE-A238-01A	DM1	PAX8	6.741734718879502
TCGA-DJ-A2Q1-01A	DM1	PAX8	4.022589993458385
TCGA-EM-A1YE-01A	DM2	PAX8	9.837130663119853
TCGA-ET-A25N-01A	DM1	PAX8	7.429238112856556
TCGA-E8-A438-01A	DM1	PAX8	6.134023007690635
TCGA-ET-A3DQ-01A	DM1	PAX8	8.037403271106024
TCGA-J8-A3O1-01A	DM1	PAX8	4.659585343563901
TCGA-FE-A239-01A	DM2	PAX8	10.088620399190827
TCGA-DE-A4M8-01A	DM1	PAX8	7.708618117053024
TCGA-BJ-A28W-01A	DM1	PAX8	8.547678970563839
TCGA-BJ-A28T-01A	DM1	PAX8	10.05864916786007
TCGA-EM-A3FQ-06A	DM1	PAX8	7.65666166161768
TCGA-DJ-A4V0-01A	DM1	PAX8	9.785293392680897
TCGA-EL-A3H2-01A	DM2	PAX8	10.594970795417467
TCGA-EM-A2CO-01A	DM2	PAX8	9.361044514175411
TCGA-EL-A3ZM-01A	DM1	PAX8	3.5906472417439312
TCGA-FE-A3PA-01A	DM1	PAX8	6.667299552789481
TCGA-ET-A25P-01A	DM1	PAX8	9.232787791944766
TCGA-BJ-A191-01A	DM2	PAX8	6.678404291593803
TCGA-EM-A3O9-01A	DM2	PAX8	6.683886895327485
TCGA-DJ-A3UV-01A	DM1	PAX8	9.447382216367757
