gene	cancer_count
CDKN2A	5
FOSL1	5
ETV4	5
DUSP6	5
THRA	4
DUSP4	4
DIO2	4
DUSP5	4
ETV5	4
FOXP3	4
HLA-DRA	4
MMP9	4
KLK10	3
MET	3
DIO1	2
IYD	2
TPO	2
SLC26A4	2
FOXE1	1
SLC5A8	1
