sample_id	cluster	rai_score
TCGA-FK-A3SE-01A	DM1	8.023628999778053
TCGA-FY-A2QD-01A	DM2	9.636902554365225
TCGA-EL-A4KD-01A	DM1	8.953633236014168
TCGA-BJ-A192-01A	DM2	9.011905680615419
TCGA-ET-A40S-01A	DM1	7.483052557114955
TCGA-ET-A39L-01A	DM1	8.435477325246602
TCGA-KS-A4IB-01A	DM1	6.3234480753921325
TCGA-DJ-A2PO-01A	DM1	7.009012701092574
TCGA-EM-A2CJ-01A	DM2	9.769713207452028
TCGA-DJ-A1QL-01A	DM2	9.517756485810514
TCGA-EM-A1CS-01A	DM1	7.362692872776751
TCGA-CE-A484-01A	DM1	7.9786841907129515
TCGA-EL-A3ZP-01A	DM1	8.050699456428028
TCGA-BJ-A0YZ-01A	DM2	8.215951572879954
TCGA-FY-A3NM-01A	DM2	10.45517835121162
TCGA-BJ-A3PR-01A	DM1	7.844223099036645
TCGA-EL-A3CO-01A	DM1	9.23232892308285
TCGA-CE-A482-01A	DM1	6.77372824322302
TCGA-EM-A3FQ-01A	DM1	8.682965588744425
TCGA-EL-A3GO-01A	DM2	8.605296276434126
TCGA-DJ-A3UZ-01A	DM1	8.851581820300565
TCGA-E8-A432-01A	DM1	6.480769747727436
TCGA-DJ-A4UT-01A	DM1	7.386982565795049
TCGA-ET-A40R-01A	DM1	9.600697854317653
TCGA-EM-A3FR-01A	DM2	8.918754759128664
TCGA-DJ-A4UQ-01A	DM1	7.990912361633966
TCGA-ET-A4KQ-01A	DM2	9.59344911271084
TCGA-CE-A481-01A	DM1	8.151950910319542
TCGA-EM-A2CP-01A	DM1	8.688200790072575
TCGA-EL-A3H3-01A	DM1	6.83075460113434
TCGA-EL-A3CS-01A	DM1	6.4803205194801325
TCGA-FK-A3SD-01A	DM2	9.941297492039691
TCGA-DJ-A13W-01A	DM1	7.31335016984323
TCGA-DJ-A13R-01A	DM1	7.593396658658575
TCGA-EL-A3ZK-01A	DM1	7.046222406131077
TCGA-ET-A3DS-01A	DM2	10.540301182596592
TCGA-EL-A3D4-01A	DM1	8.504640770586647
TCGA-EM-A3AN-01A	DM1	7.7223462299575525
TCGA-DE-A0Y2-01A	DM1	6.611810201258653
TCGA-CE-A27D-01A	DM1	9.308179266548805
TCGA-BJ-A0Z0-01A	DM2	9.54683741948233
TCGA-FK-A4UB-01A	DM1	7.431377558531693
TCGA-H2-A421-01A	DM1	7.099838187898219
TCGA-CE-A483-01A	DM1	6.724989802606366
TCGA-FY-A76V-01A	DM1	8.305739830136178
TCGA-DO-A2HM-01B	DM1	6.403337713733416
TCGA-EL-A3T0-01A	DM1	8.920727748195969
TCGA-BJ-A0ZJ-01A	DM1	8.432597162760299
TCGA-EL-A3T9-01A	DM1	5.931701348970211
TCGA-EM-A1YD-01A	DM2	10.16119808271924
TCGA-EL-A3H1-01A	DM2	9.131181513703723
TCGA-DJ-A3VK-01A	DM1	8.411777369244017
TCGA-EM-A4FR-01A	DM1	8.913425470871644
TCGA-EL-A3ZR-01A	DM2	8.782059120112198
TCGA-EM-A2P1-06A	DM1	6.129838419474485
TCGA-ET-A39R-01A	DM1	7.551822968042641
TCGA-ET-A3DR-01A	DM1	9.111366903367527
TCGA-ET-A2N3-01B	DM2	8.838514552151173
TCGA-CE-A485-01A	DM1	7.751766338772751
TCGA-ET-A3DT-01A	DM1	6.719702677398701
TCGA-CE-A13K-01A	DM1	6.688526834283918
TCGA-DJ-A2Q9-01A	DM1	6.879659389020992
TCGA-BJ-A190-01A	DM2	9.79366604512511
TCGA-DE-A3KN-01A	DM1	7.370376326450786
TCGA-EM-A3AL-01A	DM2	9.614580148720112
TCGA-EM-A1YC-01A	DM2	8.40604245585459
TCGA-BJ-A0Z5-01A	DM1	7.060523970703302
TCGA-DO-A1JZ-01A	DM1	7.430577484920011
TCGA-EM-A3AO-01A	DM1	7.42506616490681
TCGA-EM-A1CW-01A	DM2	9.13171531709068
TCGA-DJ-A3VM-01A	DM2	7.970659110366198
TCGA-EM-A2CL-01A	DM2	9.257387233268572
TCGA-ET-A40T-01A	DM1	7.370665351567581
TCGA-BJ-A0ZF-01A	DM2	8.823588652009446
TCGA-ET-A25L-01A	DM1	6.5152512373760345
TCGA-EM-A3FN-01A	DM2	9.511010871294806
TCGA-EM-A1YA-01A	DM2	8.542832664795412
TCGA-E3-A3E0-01A	DM1	8.269330681178369
TCGA-BJ-A0ZC-01A	DM2	9.772683635651994
TCGA-EM-A2CU-01A	DM1	8.174070163564808
TCGA-DJ-A3V3-01A	DM1	7.534619463966916
TCGA-BJ-A45K-01A	DM2	9.151653871935915
TCGA-FY-A3R6-01A	DM1	8.11732917912575
TCGA-IM-A41Z-01A	DM2	8.177342600762774
