pathway	Name	pathway	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	source
10	prerank	Phagosome	-0.8829338234490652	-1.464674061954673	0.0	0.008257046869214324	0.043	56/149	3.07%	MRC2;C3;HLA-DQA1;CORO1A;ITGB2;MARCO;HLA-DRB1;HLA-DOA;NCF2;ITGAM;HLA-DPB1;HLA-DRA;MRC1;HLA-DPA1;NCF4;HLA-DQB1;COMP;HLA-DRB5;CLEC7A;COLEC12;RAB7B;OLR1;FCGR2B;HLA-DQA2;HLA-DOB;HLA-G;FCGR2A;HLA-B;CYBB;TUBA1A;CTSS;HLA-DMA;HLA-F;C1R;SFTPA1;HLA-A;TCIRG1;NCF1;TLR2;HLA-C;MSR1;FCGR3A;TAP1;FCGR2C;TUBA4A;ITGA2;TUBB6;SFTPA2;CD14;ATP6V1B2;TAP2;TLR6;HLA-E;THBS2;THBS1;FCGR1A	KEGG
11	prerank	Natural killer cell mediated cytotoxicity	-0.8961678468282586	-1.4615146281978204	0.0	0.007621889417736298	0.045	51/121	6.29%	RAC2;ICAM1;ITGB2;FCER1G;BID;TYROBP;PTK2B;HLA-G;LCK;VAV1;PIK3CD;HLA-B;CSF2;ZAP70;FAS;SH3BP2;TNFRSF10A;HLA-A;LCP2;HLA-C;CD48;CD247;FCGR3A;ITGAL;SH2D1A;MICB;GZMB;HLA-E;SHC3;KLRC1;IFNAR2;PRF1;FASLG;FYN;RAET1E;IFNGR1;KLRD1;PTPN6;CD244;NCR3;ULBP2;HCST;TNFRSF10B;IFNG;RAET1G;TNF;PRKCB;ULBP1;KLRK1;IFNGR2;CASP3	KEGG
12	prerank	Ascorbate and aldarate metabolism	0.9361142870869834	1.4598068974729943	0.002777777777777778	0.1902352713499765	0.549	6/27	1.01%	ALDH1B1;ALDH7A1;MIOX;ALDH9A1;ALDH2;RGN	KEGG
13	prerank	Th17 cell differentiation	-0.8961586003465138	-1.4573334027090223	0.0024067388688327317	0.008693717617105466	0.061	48/105	5.42%	JAK3;IL1RAP;RUNX1;RXRG;HLA-DQA1;HLA-DRB1;HLA-DOA;AHR;HLA-DPB1;HLA-DRA;HLA-DPA1;HLA-DQB1;IL2RG;HLA-DRB5;CD3E;HLA-DQA2;HLA-DOB;NFKBIE;STAT1;LCK;CD3D;IL2RA;CD4;IL2RB;HLA-DMA;ZAP70;FOXP3;TGFBR1;IL4R;IL6R;CD3G;IL12RB1;CD247;TGFB1;IL21R;STAT5A;MAPK13;IFNGR1;IL6;IL27RA;IL1B;RARA;HLA-DMB;IL23A;STAT6;IFNG;TBX21;GATA3	KEGG
14	prerank	Chemokine signaling pathway	-0.8561243854476737	-1.4524661810800288	0.0	0.009527361772170373	0.073	63/189	4.62%	CXCL14;JAK3;RAC2;CCL18;CXCL2;CCL13;CCL22;HCK;CCL5;FGR;CXCL8;TIAM1;CXCL16;ADCY8;CCR1;WAS;PTK2B;CCR2;PLCB2;STAT1;ADCY7;CCR5;VAV1;PIK3CD;PIK3R5;CCL17;GNB4;CXCL9;CCL19;ITK;DOCK2;CXCR6;CXCL10;NCF1;CXCL13;CCR4;CCL2;CCR7;LYN;CCL20;ARRB2;CXCR4;CXCL11;CCL4;SRC;GRK2;CX3CL1;PIK3R6;SHC3;PIK3CG;GNAI2;CXCR3;XCL1;XCR1;CXCL3;GRK6;CCL4L2;XCL2;CCL21;CXCL5;CCL23;CXCL1;GNGT2	KEGG
15	prerank	Influenza A	-0.8700233423045525	-1.4512365920083756	0.0	0.008955720065840151	0.076	66/166	6.37%	TMPRSS4;ICAM1;HLA-DQA1;HLA-DRB1;HLA-DOA;PRSS2;HLA-DPB1;HLA-DRA;BID;HLA-DPA1;HLA-DQB1;HLA-DRB5;CCL5;CXCL8;CIITA;HLA-DQA2;HLA-DOB;STAT1;PYCARD;PIK3CD;HLA-DMA;FAS;IL18;TNFRSF1A;TNFRSF10A;NLRP3;CXCL10;PRSS1;CCL2;TPSB2;CASP1;TPSAB1;IKBKE;MX2;RSAD2;CASP8;IFNAR2;IRF9;FASLG;IFNGR1;IRF3;OAS1;MYD88;IL6;IRF7;TLR7;SOCS3;IL1B;OAS3;CCND3;HLA-DMB;TNFRSF10B;PML;IFNG;TICAM1;TNF;BAX;PRKCB;DDX58;IFIH1;NXF1;ACTB;IFNGR2;RELA;CASP3;STAT2	KEGG
16	prerank	Transcriptional misregulation in cancer	-0.8687654197582902	-1.4509594668106736	0.0	0.008314788455712326	0.077	60/188	6.85%	RUNX2;PLAU;HMGA2;RUNX1;DUSP6;RXRG;SPI1;BIRC3;MET;ITGAM;NGFR;CD86;CXCL8;CCNA1;BAIAP3;ETV7;CD40;BCL2A1;GRIA3;CSF2;IL2RB;CSF1R;MMP9;ITGB7;IGF1;ETV4;NFKBIZ;IL1R2;MYC;GZMB;TRAF1;CD14;ETV5;BCL2L1;FCGR1A;SPINT1;DDB2;PAX5;ETV1;FLT3;IL6;GADD45A;RARA;CCND2;SLC45A3;PML;SSX1;CDK9;REL;BAX;CCNA2;LYL1;RELA;CDKN2C;FUT8;IGFBP3;TCF3;MAF;PTCRA;BCL6	KEGG
17	prerank	Glycine, serine and threonine metabolism	0.8561003876440346	1.4505212681235056	0.0231023102310231	0.18943352409388736	0.599	10/39	1.56%	GATM;GLDC;CTH;PSAT1;ALDH7A1;GCSH;SDSL;PSPH;DLD;GCAT	KEGG
18	prerank	Butanoate metabolism	0.9365463830809628	1.4439468404551568	0.002898550724637681	0.1831716015592602	0.637	14/28	3.77%	BDH1;L2HGDH;AACS;HADH;ACSM5;ACAT1;ACADS;EHHADH;OXCT1;HMGCS1;ECHS1;HMGCL;HMGCS2;HADHA	KEGG
19	prerank	Pyruvate metabolism	0.8356582399760627	1.441930451282654	0.03202846975088968	0.16720577258024386	0.65	18/47	4.83%	LDHD;ACACB;ALDH1B1;ACSS1;ALDH7A1;ALDH9A1;ALDH2;DLD;ACAT1;FH;MDH2;ADH5;PDHA1;DLAT;ME1;ACSS2;ACACA;PDHB	KEGG
