sample	DM1_score	DM2_score	dm_like	v14_prediction	mutation_label
8305C_THYROID	16.72688	0.043583333333333335	DM1_like	BRAF_like	BRAF
8505C_THYROID	24.75922	0.02075	DM1_like	BRAF_like	BRAF
BCPAP_THYROID	15.262200000000002	0.04950000000000001	DM1_like	BRAF_like	BRAF
BHT101_THYROID	30.071839999999998	0.02965	DM1_like	RAS_like	BRAF
CAL62_THYROID	19.8638	0.14766666666666664	DM1_like	RAS_like	RAS
FTC133_THYROID	20.235660000000003	0.4508666666666667	DM1_like	RAS_like	other
FTC238_THYROID	12.976580000000002	0.08185	DM1_like	BRAF_like	other
MB1_THYROID	12.53896	0.14173333333333335	DM1_like	BRAF_like	other
ML1_THYROID	21.68768	28.521316666666664	DM2_like	RAS_like	other
S117_SOFT_TISSUE	11.693859999999999	0.04765	DM1_like	BRAF_like	other
SW579_THYROID	6.223139999999999	0.05759999999999999	DM1_like	RAS_like	other
TT2609C02_THYROID	18.70478	0.0411	DM1_like	BRAF_like	RAS
TT_THYROID	11.935260000000001	6.086683333333333	DM1_like	RAS_like	other
