pathway	Name	pathway	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	source
0	prerank	Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200	0.8653825669691055	1.7162232968332811	0.0	0.0022984254464757476	0.003	71/111	8.60%	NDUFA5;SCO1;NUBPL;ATP5F1B;CYCS;ETFDH;NDUFB2;ATP5F1A;UQCRC2;ATP5MC1;NDUFC2;COX8A;ECSIT;DMAC2L;SDHD;ATP5PD;UQCRFS1;NDUFS1;ATP5PB;NDUFB5;ATP5MC3;COX7B;UQCRH;NDUFA8;NDUFA10;NDUFA1;NDUFS2;TRAP1;UQCR10;COX18;ATP5F1C;NDUFV1;NDUFA6;NDUFV3;NDUFB3;ATP5PF;NDUFA12;COX5A;ETFA;NDUFB11;NDUFAF4;TACO1;COX6C;NDUFB6;COA1;NDUFS4;COX6A1;SDHB;COX7C;SDHA;TMEM186;LRPPRC;TIMMDC1;NDUFA2;ETFB;NDUFA9;UQCRQ;NDUFS3;UQCRC1;COX14;SURF1;ATP5MC2;NDUFAF1;COX5B;NDUFS6;NDUFB1;NDUFB10;NDUFB9;ATP5PO;NDUFS7;COX19	Reactome
1	prerank	Respiratory Electron Transport R-HSA-611105	0.879435730737605	1.707881920703569	0.0	0.0011492127232378738	0.003	64/89	9.64%	NDUFA5;SCO1;NUBPL;CYCS;ETFDH;NDUFB2;UQCRC2;NDUFC2;COX8A;ECSIT;SDHD;UQCRFS1;NDUFS1;NDUFB5;COX7B;UQCRH;NDUFA8;NDUFA10;NDUFA1;NDUFS2;TRAP1;UQCR10;COX18;NDUFV1;NDUFA6;NDUFV3;NDUFB3;NDUFA12;COX5A;ETFA;NDUFB11;NDUFAF4;TACO1;COX6C;NDUFB6;COA1;NDUFS4;COX6A1;SDHB;COX7C;SDHA;TMEM186;LRPPRC;TIMMDC1;NDUFA2;ETFB;NDUFA9;UQCRQ;NDUFS3;UQCRC1;COX14;SURF1;NDUFAF1;COX5B;NDUFS6;NDUFB1;NDUFB10;NDUFB9;NDUFS7;COX19;NDUFC1;NDUFAF5;NDUFAF2;COX4I1	Reactome
2	prerank	Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517	0.7785374595427924	1.6505998219988125	0.0	0.006895276339427243	0.02	94/162	7.77%	LDHD;OGDH;NNT;NDUFA5;SCO1;L2HGDH;NUBPL;ATP5F1B;MPC1;SUCLG1;CYCS;ETFDH;NDUFB2;ATP5F1A;UQCRC2;ATP5MC1;NDUFC2;COX8A;MDH2;ECSIT;DMAC2L;SUCLA2;IDH3B;SDHD;ACO2;ATP5PD;UQCRFS1;NDUFS1;ATP5PB;PDHA1;NDUFB5;ATP5MC3;DLAT;DLST;COX7B;SUCLG2;UQCRH;NDUFA8;NDUFA10;CS;NDUFA1;PDPK1;NDUFS2;TRAP1;GSTZ1;UQCR10;COX18;ATP5F1C;NDUFV1;NDUFA6;NDUFV3;PDHX;NDUFB3;ATP5PF;NDUFA12;COX5A;ETFA;NDUFB11;NDUFAF4;TACO1;COX6C;NDUFB6;COA1;PDHB;NDUFS4;RXRA;COX6A1;SDHB;COX7C;SDHA;IDH3A;TMEM186;LRPPRC;TIMMDC1;NDUFA2;PDPR;ETFB;NDUFA9;UQCRQ;NDUFS3;PLPP6;UQCRC1;PDK2;COX14;SURF1;PDP2;LDHB;HAGH;ATP5MC2;NDUFAF1;COX5B;NDUFS6;NDUFB1;NDUFB10	Reactome
3	prerank	Protein Localization R-HSA-9609507	0.7853101367346708	1.6351135993526593	0.0	0.009002166332030012	0.033	80/160	10.72%	LDHD;MLYCD;ATP5F1B;TIMM17B;CHCHD10;PHYH;ACBD5;HSD17B4;SLC25A4;ATP5F1A;EHHADH;HSPA9;ATP5MC1;CRAT;FXN;ACO2;TOMM70;GSTK1;ACOX2;TIMM10B;PEX12;TIMM21;PXMP4;SLC25A13;HMGCL;CS;CHCHD3;MTX1;CROT;TIMM17A;NUDT7;GRPEL1;MTX2;SLC25A17;ECI2;EPHX2;PXMP2;SAMM50;TYSND1;EMD;GRPEL2;ACOT2;TIMM22;PMPCB;ACOX3;SGTA;NUDT19;CYB5A;PEX10;DHRS4;CMC2;PITRM1;GET3;PEX5;DNAJC19;CHCHD2;GDAP1;TIMM44;ZNF260;COX19;PEX11B;TIMM23;ACOT4;UBE2D2;PEX2;ACOT8;SEC61G;TIMM50;PEX3;UBB;TIMM8A;TOMM40;HSPD1;SLC25A12;PMPCA;USP9X;TOMM20;GNPAT;COA6;COX17	Reactome
4	prerank	Mitochondrial Protein Import R-HSA-1268020	0.8701271841845276	1.607928400187586	0.00411522633744856	0.017621261756314066	0.082	39/61	10.72%	LDHD;ATP5F1B;TIMM17B;CHCHD10;SLC25A4;ATP5F1A;HSPA9;ATP5MC1;FXN;TOMM70;TIMM10B;TIMM21;SLC25A13;CS;CHCHD3;MTX1;TIMM17A;GRPEL1;MTX2;SAMM50;GRPEL2;TIMM22;PMPCB;CMC2;PITRM1;DNAJC19;CHCHD2;TIMM44;COX19;TIMM23;TIMM50;TIMM8A;TOMM40;HSPD1;SLC25A12;PMPCA;TOMM20;COA6;COX17	Reactome
5	prerank	Mitochondrial Biogenesis R-HSA-1592230	0.8111240844780672	1.5779065857786652	0.005154639175257732	0.03575328472295607	0.175	36/88	7.76%	PPARGC1A;ATP5F1B;CYCS;SIRT4;ATP5F1A;PRKAA2;APOO;HSPA9;ATP5MC1;ESRRA;DMAC2L;ATP5PD;ATP5PB;TFB2M;ATP5MC3;NCOA6;IMMT;ATP5F1C;APOOL;CHCHD3;MTX1;SIRT5;ATP5PF;MTX2;SAMM50;RXRA;PPARA;ALAS1;PRKAG2;DNAJC11;PRKAB2;PRKAG1;TBL1X;ATP5MC2;HDAC3;TMEM11	Reactome
6	prerank	Complex I Biogenesis R-HSA-6799198	0.8777196047719207	1.558857500218453	0.0036900369003690036	0.0453118159448076	0.241	35/50	9.51%	NDUFA5;NUBPL;NDUFB2;NDUFC2;ECSIT;NDUFS1;NDUFB5;NDUFA8;NDUFA10;NDUFA1;NDUFS2;NDUFV1;NDUFA6;NDUFV3;NDUFB3;NDUFA12;NDUFB11;NDUFAF4;NDUFB6;COA1;NDUFS4;TMEM186;TIMMDC1;NDUFA2;NDUFA9;NDUFS3;NDUFAF1;NDUFS6;NDUFB1;NDUFB10;NDUFB9;NDUFS7;NDUFC1;NDUFAF5;NDUFAF2	Reactome
7	prerank	Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	-0.9320235966217753	-1.505390676296072	0.0	0.0011174815522641609	0.001	74/115	4.83%	ICAM1;C3;ICAM5;JAML;ITGB2;SELL;TREM1;OSCAR;TYROBP;CD3E;CD1C;COLEC12;CD40;FCGR2B;LAIR1;TREM2;CD1E;HLA-G;CD3D;CD300LF;LILRB4;CLEC2D;HLA-B;CD33;HLA-F;PIANP;SLAMF7;ITGB7;HLA-A;SIGLEC10;SLAMF6;KLRB1;HLA-C;CD247;SIGLEC6;CD22;PILRA;SIGLEC9;LILRB2;ITGAL;IFITM1;CD300A;SH2D1A;ITGA4;MICB;LILRB1;CRTAM;CD40LG;ICAM3;CD8B;NPDC1;CD19;HLA-E;CD200R1;CD8A;KLRC1;FCGR1A;CD1B;LILRA6;CD300LB;CD96;VCAM1;RAET1E;LILRA2;TREML2;IGLL5;SIGLEC1;KLRD1;NCR3;SIGLEC7;CD226;HCST;CD200;LAIR2	Reactome
8	prerank	Neutrophil Degranulation R-HSA-6798695	-0.865257721486249	-1.4935537240562442	0.0	0.0016762223283962414	0.002	142/464	5.30%	CHI3L1;SERPINA1;PLAU;ALOX5;SLPI;LRG1;LGALS3;PLAUR;CTSH;CTSC;C3;TMC6;STING1;ITGB2;LCN2;ALDH3B1;SELL;ITGAX;FCER1G;OSCAR;S100A11;S100A9;CEACAM6;CD55;PRSS2;ITGAM;QPCT;ADAM8;CD53;LYZ;ANXA2;TYROBP;UNC13D;ANPEP;FGR;SIRPA;ARHGAP9;OLR1;CHIT1;MNDA;ARHGAP45;HPSE;TNFRSF1B;RAB27A;LAIR1;ADGRE5;QSOX1;FCGR2A;NCKAP1L;PYCARD;KCNAB2;PTPRC;CLEC5A;HLA-B;BIN2;CYBB;S100A8;CTSS;SLC2A3;CD33;CD58;MMP9;PTAFR;CRACR2A;NPC2;DOCK2;HLA-A;TCIRG1;TLR2;C3AR1;TRPM2;HLA-C;CD47;NFAM1;DOK3;CLEC12A;GSN;SIGLEC9;FPR1;RAP2B;ATP8B4;LILRB2;ITGAL;CD300A;GPR84;FGL2;MMP12;RAB31;RHOG;MCEMP1;C5AR1;PKP1;CD177;ATP11A;CR1;SFTPA2;ALDOC;TIMP2;SLC15A4;FCN1;CEACAM21;B2M;SIGLEC14;SIRPB1;SLC11A1;HSPA6;VNN1;LILRA6;PLAC8;NBEAL2;ADA2;BST2;TCN1;DEGS1;SNAP25;TNFAIP6;VAMP8;TMEM63A;IQGAP1;STOM;PTPN6;CYBA;CRISPLD2;SERPINB1;MAN2B1;RETN;GLIPR1;P2RX1;RNASE2;CD44;CXCL1;CNN2;PKM;PIGR;CD59;SLC27A2;PYGL;CTSD;DLC1;GMFG;SLC2A5;ANO6	Reactome
9	prerank	Glyoxylate Metabolism And Glycine Degradation R-HSA-389661	0.9413602395271864	1.4829880214091018	0.0	0.22658644193173413	0.735	18/30	4.91%	LDHD;ALDH4A1;GLDC;DHTKD1;OGDH;GCSH;DBT;GOT2;BCKDHB;HOGA1;PDHA1;DLAT;DLST;LIAS;LIPT2;PDHX;PDHB;PXMP2	Reactome
