dataset_name	reported_sample_count	downloaded_sample_count	count_match	tumor_normal_summary	histology_direct_annotation	mutation_only_inference	subtype_label_confidence	duplicated_sample_suspected	orientation_check	feature_identifier_state	clinical_linkage	quality_grade	notes
GSE213647	632.0	632	yes	370 tumor / 262 normal	yes	no	high	no	gene_rows_sample_cols	gene_symbol	partial	B	"{""cPTC"": 579, ""ATC"": 27, ""FTC"": 11, ""PDTC"": 8, ""unknown"": 7}"
GSE126698	28.0	28	yes	22 tumor / 6 normal	yes	no	high	no	gene_rows_sample_cols	gene_symbol	partial	A	"{""ATC"": 10, ""FTC"": 6, ""normal"": 6, ""cPTC"": 6}"
GSE27155	99.0	99	yes	66 tumor / 4 normal	yes	partial	high	no	gene_rows_sample_cols	probe_to_gene_mapped	partial	A	"{""cPTC"": 51, ""unknown"": 33, ""FTC"": 13, ""MTC"": 2}"
GSE76039	37.0	37	yes	37 tumor / 0 normal	yes	no	high	no	gene_rows_sample_cols	probe_to_gene_mapped	partial	A	"{""ATC"": 20, ""PDTC"": 17}"
GSE97466	141.0	141	yes	74 tumor / 67 normal	yes	no	low	no	gene_rows_sample_cols	probe_id_beta	partial	A	"{""unknown"": 91, ""normal"": 50}"
TCGA-THCA	572.0	572	yes	513 tumor / 59 normal	yes	partial	high	no	gene_rows_sample_cols	gene_symbol	partial	A	"{""cPTC"": 430, ""FVPTC"": 109, ""unknown"": 31, ""normal"": 2}"
Yoo_SK_2019_EGA		0	no	0 tumor / 0 normal	no	no	low	no	gene_rows_sample_cols	probe_id_beta	partial	B	{}
