sample_id	v3_anchor_6class	small_n
ERR1518628	other	False
ERR1518631	other	False
ERR1518633	other	False
ERR1518634	other	False
ERR1518635	other	False
ERR1518643	other	False
ERR1518657	other	False
ERR1518660	other	False
ERR1518667	other	False
ERR1518669	other	False
ERR1518680	other	False
ERR1518687	other	False
ERR1518691	other	False
ERR1518695	other	False
ERR1518696	other	False
ERR1518697	other	False
ERR1518698	other	False
ERR1518702	other	False
ERR1518704	other	False
ERR1518706	other	False
ERR1518708	other	False
ERR1518713	other	False
ERR1518717	other	False
ERR1518722	other	False
ERR1518727	other	False
ERR1518732	other	False
ERR1518733	other	False
ERR1518740	other	False
ERR1518744	other	False
ERR1518747	other	False
ERR1518748	other	False
ERR1518750	other	False
ERR1518753	other	False
ERR1518756	other	False
ERR1518758	other	False
ERR1518760	other	False
ERR1518765	other	False
ERR1518774	other	False
ERR1518776	other	False
ERR1518781	other	False
ERR1518782	other	False
ERR1518785	other	False
ERR1518789	other	False
ERR1518790	other	False
ERR1518792	other	False
ERR1518797	other	False
ERR1518799	other	False
ERR1518800	other	False
ERR1518804	other	False
ERR1518806	other	False
ERR1518808	other	False
ERR1518812	other	False
ERR1518813	other	False
ERR1518814	other	False
ERR1518816	other	False
ERR1518819	other	False
ERR1518826	other	False
ERR1518829	other	False
ERR1518830	other	False
ERR1518832	other	False
ERR1518838	other	False
ERR1518839	other	False
ERR1518842	other	False
ERR1518844	other	False
ERR1518846	other	False
ERR1518848	other	False
ERR1518849	other	False
ERR1518850	other	False
ERR1518855	other	False
ERR1518856	other	False
ERR1518857	other	False
ERR1518859	other	False
ERR1518866	other	False
ERR1518867	other	False
ERR1518874	other	False
ERR1518876	other	False
ERR1518878	other	False
ERR1518880	other	False
ERR1518882	other	False
ERR1518884	other	False
ERR1518885	other	False
ERR1518886	other	False
ERR1518627	other	False
ERR1518638	other	False
ERR1518645	other	False
ERR1518654	other	False
ERR1518656	other	False
ERR1518659	other	False
ERR1518665	other	False
ERR1518672	other	False
ERR1518674	other	False
ERR1518681	other	False
ERR1518682	other	False
ERR1518684	other	False
ERR1518689	other	False
ERR1518693	other	False
ERR1518694	other	False
ERR1518703	other	False
ERR1518705	other	False
ERR1518709	other	False
ERR1518711	other	False
ERR1518716	other	False
ERR1518723	other	False
ERR1518724	other	False
ERR1518726	other	False
ERR1518728	other	False
ERR1518731	other	False
ERR1518735	other	False
ERR1518736	other	False
ERR1518738	other	False
ERR1518739	other	False
ERR1518741	other	False
ERR1518742	other	False
ERR1518743	other	False
ERR1518745	other	False
ERR1518746	other	False
ERR1518749	other	False
ERR1518752	other	False
ERR1518755	other	False
ERR1518759	other	False
ERR1518761	other	False
ERR1518770	other	False
ERR1518771	other	False
ERR1518772	other	False
ERR1518775	other	False
ERR1518778	other	False
ERR1518780	other	False
ERR1518783	other	False
ERR1518784	other	False
ERR1518787	other	False
ERR1518788	other	False
ERR1518793	other	False
ERR1518794	other	False
ERR1518796	other	False
ERR1518801	other	False
ERR1518803	other	False
ERR1518805	other	False
ERR1518807	other	False
ERR1518809	other	False
ERR1518810	other	False
ERR1518811	other	False
ERR1518817	other	False
ERR1518818	other	False
ERR1518821	other	False
ERR1518822	other	False
ERR1518825	other	False
ERR1518827	other	False
ERR1518836	other	False
ERR1518837	other	False
ERR1518840	other	False
ERR1518841	other	False
ERR1518843	other	False
ERR1518845	other	False
ERR1518860	other	False
ERR1518862	other	False
ERR1518864	other	False
ERR1518865	other	False
ERR1518868	other	False
ERR1518869	other	False
ERR1518870	other	False
ERR1518872	other	False
ERR1518875	other	False
ERR1518877	other	False
ERR1518881	other	False
ERR1518883	other	False
ERR1512530	other	False
ERR1518626	other	False
ERR1518629	other	False
ERR1518630	other	False
ERR1518632	other	False
ERR1518636	other	False
ERR1518637	other	False
ERR1518639	other	False
ERR1518640	other	False
ERR1518641	other	False
ERR1518642	other	False
ERR1518644	other	False
ERR1518646	other	False
ERR1518647	other	False
ERR1518648	other	False
ERR1518649	other	False
ERR1518650	other	False
ERR1518651	other	False
ERR1518652	other	False
ERR1518653	other	False
ERR1518655	other	False
ERR1518658	other	False
ERR1518661	other	False
ERR1518662	other	False
ERR1518663	other	False
ERR1518664	other	False
ERR1518666	other	False
ERR1518668	other	False
ERR1518670	other	False
ERR1518671	other	False
ERR1518673	other	False
ERR1518675	other	False
ERR1518676	other	False
ERR1518677	other	False
ERR1518678	other	False
ERR1518679	other	False
ERR1518683	other	False
ERR1518685	other	False
ERR1518686	other	False
ERR1518688	other	False
ERR1518690	other	False
ERR1518692	other	False
ERR1518699	other	False
ERR1518700	other	False
ERR1518701	other	False
ERR1518707	other	False
ERR1518710	other	False
ERR1518712	other	False
ERR1518714	other	False
ERR1518715	other	False
ERR1518718	other	False
ERR1518719	other	False
ERR1518720	other	False
ERR1518721	other	False
ERR1518725	other	False
ERR1518729	other	False
ERR1518730	other	False
ERR1518734	other	False
ERR1518737	other	False
ERR1518751	other	False
ERR1518754	other	False
ERR1518757	other	False
ERR1518762	other	False
ERR1518763	other	False
ERR1518764	other	False
ERR1518766	other	False
ERR1518767	other	False
ERR1518768	other	False
ERR1518769	other	False
ERR1518773	other	False
ERR1518777	other	False
ERR1518779	other	False
ERR1518786	other	False
ERR1518791	other	False
ERR1518795	other	False
ERR1518798	other	False
ERR1518802	other	False
ERR1518815	other	False
ERR1518820	other	False
ERR1518823	other	False
ERR1518824	other	False
ERR1518828	other	False
ERR1518831	other	False
ERR1518833	other	False
ERR1518834	other	False
ERR1518835	other	False
ERR1518847	other	False
ERR1518851	other	False
ERR1518852	other	False
ERR1518853	other	False
ERR1518854	other	False
ERR1518858	other	False
ERR1518861	other	False
ERR1518863	other	False
ERR1518871	other	False
ERR1518873	other	False
ERR1518879	other	False
