AUROC	AUPRC	bacc	MCC	Brier	n_pos	n	split	aggregator	n_total
0.7586206896551724	0.6658145486703156	0.5	0.0	0.3516536521102296	29	78	test	max_score	78
0.6045038705137228	0.48075346088582466	0.5668543279380718	0.1479883634068946	0.25066542026898414	29	78	test	mean_score	78
0.7790288529204785	0.6725983444762201	0.5	0.0	0.33114163191819995	29	78	test	top10_mean	78
0.6896551724137931	0.5850543133505307	0.5	0.0	0.3446686972977117	29	78	test	top1pct_mean	78
0.7364447494852437	0.6335290919900857	0.5106382978723404	0.09255215925586749	0.3288139419230054	31	78	valid	max_score	78
0.5531914893617021	0.4985024730790809	0.5676046671242279	0.13691133692286214	0.24945094769799547	31	78	valid	mean_score	78
0.7439945092656143	0.6481604308830808	0.5106382978723404	0.09255215925586749	0.31093864059390874	31	78	valid	top10_mean	78
0.6609471516815374	0.5309469082366293	0.5106382978723404	0.09255215925586749	0.3246527145726817	31	78	valid	top1pct_mean	78
0.7434027777777777	0.646600746044499	0.5052083333333334	0.06350006350009525	0.3402337970166175	60	156	test+valid	max_score	156
0.576388888888889	0.48058874770964144	0.565625	0.1375690141160422	0.2500581839834898	60	156	test+valid	mean_score	156
0.759375	0.652993670233833	0.5052083333333334	0.06350006350009525	0.3210401362560543	60	156	test+valid	top10_mean	156
0.6649305555555556	0.540682024853939	0.5052083333333334	0.06350006350009525	0.33466070593519665	60	156	test+valid	top1pct_mean	156
