model	params	AUC_mean	AUC_std	DIAL_mean	DIAL_std	time_mean
baseline_random_32	2048	0.3016	0.0261	0.1984	0.0261	0.0495
pca_32	2048	0.1546	0.0209	0.3454	0.0209	0.0924
pca_128	4096	0.1622	0.0303	0.3378	0.0303	0.1258
ae_64	8320	0.2061	0.0177	0.2939	0.0177	0.4362
ae_256	103040	0.1783	0.0333	0.3217	0.0333	0.6566
mlp_512	854080	0.1658	0.0359	0.3342	0.0359	2.7332
mlp_768_deep	2461504	0.1671	0.0324	0.3329	0.0324	7.7066
mlp_1024_xdeep	5380160	0.1629	0.0319	0.3371	0.0319	19.6792
