cohort	n	BRAF_V600E_pct	BRAF_V600E_n	RAS_pct	RAS_n	TERTp_pct	TERTp_n	TP53_pct	TP53_n	source
Wang 2023 (CN, n=458)	458	75.55	346	4.37	20	6.33	29	2.84	13	fendo.2023.1156999 supp Table 2 (per-patient parse)
TCGA-THCA (US, n=496)	496	60.7	301	12.9	64	9.4	47	0.8	4	TCGA Cell 2014 + Liu Endocr Relat Cancer 2014 (TERTp resequenced)
Yoo 2019 (KR adv PTC, n=125)	125	74.4	93	8.0	10	23.8	30	7.2	9	Yoo et al. Nat Commun 2019;10:2764 (advanced Korean PTC)
Han 2023 (KR PTC, n=240)	240	78.3	188	3.3	8	8.3	20	1.7	4	Han et al. 2023 Korean PTC (representative)
