cohort	contrast	n_first	n_second	mean_first_log2	mean_second_log2	delta_log2	cohens_d	se_d	mw_p
GSE60542	PDTC_vs_PTC	4	72	5.650936488953125	5.343326396963541	0.30761009198958345	2.5546310586263337	0.553916978844929	4.208967438960229e-05
GSE60542	PDTC_vs_normal	4	11	5.650936488953125	5.3369767605	0.31395972845312503	4.3301523341193855	0.9828104592434951	0.0014652014652014652
GSE60542	PTC_vs_normal	72	11	5.343326396963541	5.3369767605	0.006349636463541586	0.054532837618484445	0.32375282923677356	0.8561241262486957
GSE65144	ATC_vs_normal	12	13	6.230302864065249	6.5707899840969315	-0.3404871200316828	-0.6076241170851905	0.4094393137080041	0.2888443663464849
GSE76039	ATC_vs_PDTC	20	17	2.9766565708375006	3.3792421914558823	-0.40258562061838177	-1.191779123013297	0.35779502388259643	0.001303407825319981
