cohort	n	rai_8_mean	rai_8_std	dm1_count	dm2_count
GSE60542	92	-1.534098934842098e-15	0.34776462281650844	0	0
GSE65144	25	-6.439293542825907e-17	0.4402130273101619	0	0
GSE76039	37	-6.51130800928808e-16	0.2968314856856208	0	0
GSE82208	52	1.814787636406506e-17	0.3860551522585288	0	0
TCGA-PTC-GDC	513	8.440292000074289e-17	0.6701224285180095	324	189
