gene_symbol	BACI107	BACI109	BACI110	BACI111	BACI112	BACI113	BACI114	BACI116	BACI117	BACI118	BACI119	BACI120	BACI121	BACI122	BACI123	BACI124	BACI126	BACI128	BACI131	BACI133	BACI135	BACI136	BACI137	BACI138	BACI139	BACI140	BACI142	BACI143	BACI144	BACI148	BACI149	BACI150	BACI151	BACI152	BACI153	BACI154	BACI155	BACI156	BACI157	BACI158	BACI159	BACI160	BACI161	BACI162	BACI163	BACI164	BACI165	BACI167	BACI169	BACI170	BACI172	BACI173	BACI174	BACI175	BACI177	BACI178	BACI180	BACI181	BACI182	BACI183	BACI184	BACI185	BACI186	BACI187	BACI188	BACI189	BACI190	BACI191	BACI192	BACI193	BACI194	BACI195	BACI196	BACI197	BACI199	BACI201	BACI202	BACI203	BACI204	BACI205	BACI206	BACI207	BACI208	BACI209	BACI210	BACI211	BACI212	BACI217	BACI219
OR4F5	-1.685476943	-1.812178562	-1.882305527	-1.368961892	-1.892764293	-1.799868164	-1.754766158	-1.43864777	-1.806823927	-2.05232931	-1.753099811	-1.594697432	-1.580121661	-1.708244347	-1.658425207	-2.086107303	-1.51806072	-1.613667932	-1.949960736	-1.662517261	-1.346093278	-1.56835738	-1.796613777	-1.800082624	-1.738964549	-1.856241592	-1.774693472	-1.575683841	-1.77777336	-1.502745897	-1.765058101	-1.624256956	-1.638511644	-1.668491394	-1.842376586	-1.770827807	-1.961527973	-1.684310321	-1.759682163	-1.79313047	-1.997306258	-1.564224694	-1.654084987	-1.554433004	-1.994448717	-1.790809181	-1.810937223	-1.719986593	-1.925645521	-1.946603925	-1.345246553	-1.90668435	-1.745615494	-1.627806241	-1.557453328	-1.243936229	-1.49858828	-1.840859967	-1.68801683	-1.457198401	-1.744458046	-1.384133137	-1.964911035	-1.741904224	-1.807292893	-1.908206781	-1.786293133	-1.930108045	-1.654278375	-1.650038509	-1.611840308	-1.632938621	-1.802616953	-1.35759882	-1.730451223	-1.886706035	-1.829300971	-1.664587667	-1.925906819	-1.937996828	-1.991602884	-1.812387418	-1.71314804	-1.676771737	-1.691571599	-2.112642512	-1.456870912	-1.905874043	-1.840363501
OR4F29	-1.685476943	-1.812178562	-1.031857587	-1.954704428	-1.892764293	-1.152669726	-1.754766158	-0.684213549	-1.11750573	-2.044167193	-1.24601517	-1.594697432	-1.579638836	-1.708244347	-1.063959944	-1.08066342	-0.880237669	-1.379806167	-1.33698933	-1.240560476	-1.648787312	-1.408642263	-1.524643943	-1.800082624	-1.069134135	-1.000037137	-1.090101267	-0.919812764	-1.234614347	-0.888807577	-1.134817553	-1.624256956	-1.448222087	-0.813230022	-1.842376586	-1.316315621	-1.961527973	-1.091695916	-1.165393929	-0.903623548	-1.422015059	-0.874930021	-1.654084987	-0.705262265	-1.586746801	-1.134641665	-1.091989852	-1.719986593	-1.925645521	-1.946603925	-0.978028904	-1.90668435	-0.936077589	-1.16434665	-1.109242202	-1.770408922	-1.69865097	-1.840584523	-1.688005061	-1.300115368	-0.85761938	-0.933236168	-1.96487689	-1.098210802	-1.422346577	-1.444195234	-1.049605995	-1.930108045	-0.650465111	-0.447253389	-1.108128591	-0.930984642	-1.490663407	-1.109698808	-1.123000453	-1.356357876	-1.217401751	-1.291652782	-1.915181746	-0.911484802	-1.991602884	-0.911553877	-0.853474336	-1.461583065	-1.691571599	-1.705485314	-1.764012046	-1.905874043	-1.840363501
OR4F16	-1.685476943	-1.812178562	-1.031398067	-1.954704428	-1.892764293	-1.152765224	-1.754766158	-0.684366943	-1.117596744	-2.044169918	-1.246144871	-1.594697432	-1.579639036	-1.708244347	-1.064037312	-1.080683876	-0.880259173	-1.379863224	-1.337003459	-1.240669951	-1.648787312	-1.408642263	-1.524643943	-1.800082624	-1.068602516	-1.000054506	-1.090154202	-0.919860943	-1.234746868	-0.888846977	-1.134850236	-1.624256956	-1.448394558	-0.813332913	-1.842376586	-1.314906082	-1.961527973	-1.091710317	-1.16546243	-0.903685875	-1.422304288	-0.875004606	-1.654084987	-0.705396387	-1.586806873	-1.134671024	-1.092072848	-1.719986593	-1.925645521	-1.946603925	-0.978176729	-1.90668435	-0.936196179	-1.164509449	-1.109242202	-1.77040903	-1.698659423	-1.84058462	-1.688005061	-1.300280236	-0.857789005	-0.933367679	-1.964876899	-1.098096784	-1.422417061	-1.444195234	-1.04979077	-1.930108045	-0.650573265	-0.447333237	-1.108230951	-0.931024759	-1.490823792	-1.109747604	-1.123176133	-1.356414861	-1.217480214	-1.291663965	-1.915185853	-0.911477818	-1.991602884	-0.911683824	-0.853511055	-1.46159107	-1.691571599	-1.705591083	-1.764012046	-1.905874043	-1.840363501
SAMD11	-0.043839553	-0.668152614	-0.544896215	-0.520745919	-0.296015393	-0.361491314	-0.786013396	-0.547726466	-0.457750071	-0.323495654	-0.528318651	-0.645283906	-0.392142378	0.058797814	-0.675684201	-0.053131903	-0.568959181	-0.52228387	-0.203228717	-0.142104331	-0.281691514	-0.199926564	-0.385005964	-0.211607836	-0.345294857	0.151559884	-0.326514622	-0.626264917	-0.511068231	-0.772121344	-0.289422142	-0.366172538	-0.452216762	0.249984726	-0.100748608	-0.505675846	-0.460678927	-0.192915738	-0.666396328	-0.457651939	0.232783545	-0.513193495	-0.345902487	-0.204428297	0.022726989	-0.285993346	-0.063129051	-0.277195669	-0.20868643	-0.021090138	-0.525769201	-0.489203825	-0.55000421	-0.006100294	-0.325131488	-0.293029181	-0.662301906	-0.472693411	0.198536341	-0.385918752	-0.643812438	0.469756464	-0.289335566	-0.35195932	-0.379318992	-0.160148571	0.120654891	-0.361364195	-0.365661684	0.098620308	-0.553635911	-0.678127837	-0.351729496	-0.742422162	-0.440855344	-0.148016539	-0.511757434	-0.294817462	-0.385938694	-0.329904617	-0.139643735	-0.276942536	0.070766043	-0.618629192	-0.498287556	-0.277693759	-0.219956035	-0.206318917	-0.14932017
NOC2L	0.429165271	0.300321492	0.295669422	0.24496821	0.174805334	0.341650387	0.367237676	0.361645089	0.429618619	0.270872854	0.559078911	0.39853917	0.324781283	0.353138046	0.472984916	0.681588745	0.430922889	0.480221288	0.526540057	0.503387626	0.384636911	0.234265119	0.526670592	0.571937076	0.288691952	0.347280898	0.56129364	0.452899479	0.303170359	0.49330133	0.325931935	0.251465878	0.528306591	0.381435351	0.308319386	0.277851394	0.278882288	0.430112252	0.529293155	0.268643194	0.630243227	0.307271894	0.406717187	0.529349033	0.536930122	0.534576287	0.328651856	0.766765463	0.209889412	0.629449047	0.243000803	0.241785019	0.254005124	0.336596525	0.441866877	0.589092648	0.342452721	0.332810105	0.691477171	0.366668919	0.342798768	0.433046387	0.462316013	0.493755662	0.564219965	0.568804182	0.425833986	0.491314497	0.675490922	0.367321557	0.383241266	0.26908491	0.346500908	0.439809438	0.14263037	0.419712881	0.334647353	0.355252452	0.382900023	0.44876165	0.253614518	0.30272865	0.43710572	0.386847139	0.411456202	0.33861218	0.395498795	0.363036194	0.409367659
KLHL17	0.109260823	-0.003441663	-0.083728154	0.016846028	-0.094831284	0.040264787	-0.098984001	0.041682601	0.111545918	0.015622511	0.283127416	-0.002885307	-0.089947959	0.141597624	0.140536147	0.184823763	-0.041128027	-0.00614963	0.229859127	0.178480273	-0.039124083	-0.233756562	0.11921186	0.069159734	-0.170015334	0.105631007	-0.089609918	-0.005335815	-0.007797601	0.075899256	-0.085467047	-0.000472498	0.205400923	0.228603297	-0.016520574	0.131170658	-0.116297914	0.164919936	0.153168748	0.069737442	-0.051492086	0.016822562	0.129227601	0.223657564	0.170053797	0.236603291	0.099446721	0.364645274	-0.055712807	0.288491585	-0.038650421	0.039750489	-0.078355453	0.105757092	0.132656633	-0.164217366	0.163922944	0.001225913	0.450129092	0.116311059	0.001337938	-0.10282375	-0.088535109	0.279533424	0.108280972	0.177519689	0.317954212	0.198850266	0.445142139	-0.036490985	0.055287479	0.057945024	-0.193110576	-0.077773806	-0.27394928	0.053041318	0.007021528	-0.172126918	0.092878634	-0.085839448	-0.15648665	-0.10737114	-0.090348459	0.177127453	0.127882534	-0.324860729	0.161435566	-0.000144711	0.13138579
PLEKHN1	-0.017152866	-0.062913581	-0.148153584	-0.182185119	-0.473954954	0.055140873	-0.308196935	0.156412071	0.160338117	-0.345971739	0.000326163	0.105605169	0.013060072	0.227627555	0.2291674	0.152178363	-0.679896887	-0.243343787	0.022697082	-0.049499839	0.168127655	-0.122898472	0.253824092	0.430847645	0.205106662	0.066568798	0.134279362	0.119111414	-0.176281713	0.107686339	-0.05416873	-0.252020521	-0.067884889	0.426978473	0.092622796	0.05432885	-0.24212915	0.250335141	0.144064771	-0.042646865	-0.923056096	-0.129775013	0.465635315	0.2934225	-0.082213839	0.27419129	0.233549666	0.284869443	-0.82848268	0.192927574	-0.159633002	-0.32874701	0.048387494	0.34402811	0.129229691	0.209701911	-0.049471374	-0.05625478	0.225171427	-0.537057778	0.097317563	0.244614234	0.118039241	0.237538328	0.200747271	0.02513374	-0.83973758	-0.314830653	0.525181451	0.342963993	0.179388444	0.140860279	-0.2607928	-0.38263056	-0.796976211	0.117355178	0.014121167	0.136294197	0.146218187	0.022195414	-0.10935017	-0.131621431	-0.195436128	0.08422431	-0.157695945	-1.117212172	0.124715362	0.076896848	0.262462427
PERM1	-0.122890185	-0.499801072	-0.467411206	-0.355531468	-0.809166035	-0.136106586	-0.668036208	0.046675271	-0.157262996	-0.594459855	-0.257830631	-0.25881217	-0.193072688	-0.140646201	-0.0555792	0.043443031	-0.976200548	-0.520231431	-0.274936565	-0.237247918	-0.179760271	-0.366037721	0.051844636	0.073214562	0.051457533	-0.273001931	-0.029527996	-0.155863925	-0.408979498	-0.246251248	-0.293150118	-0.461747701	-0.524078182	0.186508779	-0.262583965	-0.388234978	-0.639206367	0.070724908	-0.194701544	-0.280135164	-1.344637556	-0.414247527	0.307115745	0.062605324	-0.338208023	-0.058746237	-0.125727653	-0.006160319	-0.95745307	-0.045336859	-0.380384061	-0.48967738	-0.128323329	-0.005222763	-0.078700365	0.101775394	-0.396070045	-0.374041267	-0.019418154	-0.441056999	0.047984884	-0.086445595	-0.030453548	0.031822657	-0.117213352	-0.364029296	-0.894131617	-0.490634892	0.381972693	0.147861661	0.001393419	-0.269937944	-0.506208365	-0.625646449	-1.127939582	-0.093315751	-0.227852593	-0.035708434	-0.315054802	-0.37770663	-0.355466024	-0.281513013	-0.412082865	-0.238419134	-0.486317577	-1.195550033	0.08089555	-0.209478741	-0.064859246
HES4	-0.032457982	-0.327642459	-0.301804389	-0.114148813	-0.328949254	-0.213798075	-0.425017441	-0.124304736	0.0810674	-0.298101022	-0.006685262	-0.021426594	0.037764551	-0.101597278	0.004342944	0.492981303	-0.395658795	-0.098765245	0.107082539	-0.008878507	0.146252003	-0.080911167	-0.078967507	0.111685739	0.048306479	0.047683635	0.277313867	-0.069477797	-0.525406371	-0.482307944	-0.205563855	-0.147984447	0.114999086	0.367477808	0.354845075	-0.176455297	-0.201158646	0.231573688	0.013701674	-0.080163471	-0.562669458	-0.135115028	0.109445268	0.185015227	-0.156681864	0.357309747	-0.19044511	0.575152671	-0.679808679	0.32759897	-0.060826669	-0.247129402	-0.052688502	-0.033594691	0.193856349	-0.49083505	0.06815343	-0.185490065	0.512368119	-0.178345619	0.038006676	0.223199562	-0.016245769	0.208144526	-0.010546346	-0.103110471	-0.27500911	-0.171951496	0.034865374	0.133714194	0.055287071	0.11722819	0.003765531	-0.102825053	-0.3471924	-0.021769565	-0.136911351	-0.354669917	-0.12309369	-0.133864248	-0.215292086	0.027797346	-0.162589568	-0.015280645	-0.172593696	-0.436558898	-0.127320362	-0.446238055	0.072428903
ISG15	0.317483282	0.517307477	-0.068083343	-0.015608774	0.233609269	-0.126432119	0.500496776	0.441341795	0.352090678	0.132873204	-0.137810536	0.74328668	-0.063716633	0.134288325	0.387749367	0.104602485	-0.25367616	-0.034362822	0.467396653	0.115191185	0.236840604	-0.141530082	-0.128198122	0.514950528	-0.186630859	-0.106437817	0.213796348	0.07313097	-0.052053643	0.047774174	0.016830866	0.226047001	0.649790062	0.430067478	0.096833901	0.410784623	0.03308362	0.089891389	0.746093647	0.087041992	0.026469706	0.700985019	-0.139909407	0.130494643	0.232838192	-0.012888957	0.004604528	0.895940211	0.605632911	0.396100423	-0.252271166	0.265951338	-0.119247879	-0.124172619	0.057240995	-0.197608016	0.117739506	-0.176400064	0.5289548	0.204109476	-0.202627938	0.126141281	0.034937544	-0.021166748	0.17635	0.099315083	-0.811429406	0.46006925	0.538892446	-0.228668986	0.066393909	0.021368319	-0.166303453	-0.17334452	-0.190365923	0.078447502	0.219130195	0.23983675	0.60340615	0.09981918	-0.04149174	-0.075076347	-0.037290001	0.282012734	0.252080299	0.104210505	-0.09655681	0.295252571	0.171703053
