regimen	panel	n	n_event	HR	lo	hi	p	strata
PD1	HT13	39	20	0.9263917291799503	0.6095303793115954	1.407971882980259	0.7203552563470235	regimen_cohort
PD1	TIS	39	20	0.8342424010582101	0.542094692848739	1.2838354496076236	0.4099473179872115	regimen_cohort
PD1	DM1_inflam	39	20	0.8788924442403687	0.5789643338220756	1.3341960521875524	0.5444199131202054	regimen_cohort
PDL1	HT13	320	205	0.8390348435994419	0.7263255303151724	0.9692340959961355	0.017100368820530516	regimen_cohort
PDL1	TIS	320	205	0.7746857868547811	0.6732831008521314	0.8913606588302229	0.0003615410118803753	regimen_cohort
PDL1	DM1_inflam	320	205	0.8014031173539206	0.696076527746552	0.922667165036816	0.0020733150492804444	regimen_cohort
