regimen_cohort	panel	OR	p	n	n_resp	a	b	c	d	adapt_resp_rate	other_resp_rate	regimen
GSE176307_PD1	HT13	0.6666666666666666	1.0	39	5	2	17	3	17			PD1
GSE176307_PD1	TIS	0.6666666666666666	1.0	39	5	2	17	3	17			PD1
GSE176307_PD1	DM1_inflam	0.6666666666666666	1.0	39	5	2	17	3	17			PD1
Hugo_GSE78220	HT13	0.875	1.0	27	15	7	6	8	6			PD1
Hugo_GSE78220	TIS	0.47619047619047616	0.4494817606676539	27	15	6	7	9	5			PD1
Hugo_GSE78220	DM1_inflam	0.875	1.0	27	15	7	6	8	6			PD1
MGH_GSE115821	HT13	0.25925925925925924	1.0	8	1	0	4	1	3			PD1
MGH_GSE115821	TIS	3.857142857142857	1.0	8	1	1	3	0	4			PD1
MGH_GSE115821	DM1_inflam	0.25925925925925924	1.0	8	1	0	4	1	3			PD1
riaz_GSE91061	HT13	1.75	0.4962044870325002	49	10	6	18	4	21			PD1
riaz_GSE91061	TIS	1.0526315789473684	1.0	49	10	5	19	5	20			PD1
riaz_GSE91061	DM1_inflam	1.0526315789473684	1.0	49	10	5	19	5	20			PD1
GSE176307_PD1	DM1_adaptive_HT13xHLA1	1.0769230769230769	1.0	39	5	2	13	3	21	0.13333333333333333	0.125	PD1
Hugo_GSE78220	DM1_adaptive_HT13xHLA1	2.0	0.6828375286041191	27	15	6	3	9	9	0.6666666666666666	0.5	PD1
MGH_GSE115821	DM1_adaptive_HT13xHLA1	0.42857142857142855	1.0	8	1	0	3	1	4	0.0	0.2	PD1
riaz_GSE91061	DM1_adaptive_HT13xHLA1	1.4375	0.7256220987831759	49	10	5	16	5	23	0.23809523809523808	0.17857142857142858	PD1
GSE176307_PDL1	HT13	1.0	1.0	22	6	3	8	3	8			PDL1
GSE176307_PDL1	TIS	8.333333333333334	0.14860681114551083	22	6	5	6	1	10			PDL1
GSE176307_PDL1	DM1_inflam	2.5714285714285716	0.6351172047766476	22	6	4	7	2	9			PDL1
IMvigor210	HT13	1.357957957957958	0.3339557972812859	298	68	38	111	30	119			PDL1
IMvigor210	TIS	1.5858453473132372	0.128547894469802	298	68	40	109	28	121			PDL1
IMvigor210	DM1_inflam	1.4670846394984327	0.21394219114423912	298	68	39	110	29	120			PDL1
GSE176307_PDL1	DM1_adaptive_HT13xHLA1	0.6428571428571429	1.0	22	6	2	7	4	9	0.2222222222222222	0.3076923076923077	PDL1
IMvigor210	DM1_adaptive_HT13xHLA1	1.7343915343915344	0.06430792257671869	298	68	33	81	35	149	0.2894736842105263	0.19021739130434784	PDL1
