regimen	class_	n	n_resp	resp_rate	p
PD1	DM1_adaptive (HT_high & HLA_high)	49	13	0.2653061224489796	
PD1	DM1_classical_escape (HT_high & HLA_low)	12	3	0.25	
PD1	DM2_adaptive (HT_low & HLA_high)	12	5	0.4166666666666667	
PD1	DM2_classical_escape (HT_low & HLA_low)	50	10	0.2	
PD1	DIAGONAL_OR (DM1_adaptive vs DM2_classical)	99	23	1.426614481409002	0.48294511557463726
PDL1	DM1_adaptive (HT_high & HLA_high)	123	37	0.3008130081300813	
PDL1	DM1_classical_escape (HT_high & HLA_low)	37	5	0.13513513513513514	
PDL1	DM2_adaptive (HT_low & HLA_high)	37	6	0.16216216216216217	
PDL1	DM2_classical_escape (HT_low & HLA_low)	123	26	0.21138211382113822	
PDL1	DIAGONAL_OR (DM1_adaptive vs DM2_classical)	246	63	1.5950485331006652	0.14374873847511993
