regimen	panel	k	n_total	n_resp_total	mh_OR	lo	hi	p	I2	sign_concordance
PD1	DM1_adaptive_HT13xHLA1	4	123	31	1.3533760955785143	0.5482374519502448	3.3409371241743866	0.5116057791757274	0.0	3
PD1	DM1_inflam	4	123	31	0.8088284049825548	0.3352097583170514	1.9516239383695342	0.6368471016498225	0.0	1
PD1	HT13	4	123	31	0.9889059507582948	0.4125517992758655	2.3704537979514195	0.9800459165066335	0.0	1
PD1	TIS	4	123	31	0.8107318140610834	0.3380389204705542	1.9444094585789857	0.6382746851779473	0.0	2
PDL1	DM1_adaptive_HT13xHLA1	2	320	74	1.6055943660378422	0.9500508699574906	2.7134686675965134	0.07695933503514474	0.0	1
PDL1	DM1_inflam	2	320	74	1.5290510006455775	0.904458727115959	2.5849681057646445	0.11293204967195858	0.0	2
PDL1	HT13	2	320	74	1.3261204795304185	0.7866018329355897	2.2356870434269482	0.28949586311225906	0.0	1
PDL1	TIS	2	320	74	1.7608657807694539	1.0388956629084756	2.9845617886249456	0.03557580680270922	32.933775468291074	2
POOLED_ALL	DM1_adaptive_HT13xHLA1	6	443	105	1.5372682356123741	0.9765584865997987	2.4199202204990278	0.06323546747363262	0.0	4
POOLED_ALL	DM1_inflam	6	443	105	1.2931414823413385	0.8262078748938675	2.0239638766052224	0.2606980770956262	0.0	3
POOLED_ALL	HT13	6	443	105	1.2277056085753049	0.7846224945373986	1.9210015922573285	0.36912127984822707	0.0	2
POOLED_ALL	TIS	6	443	105	1.4314565127230128	0.9147236271242967	2.2400949172582076	0.11644068783507211	0.0	4
