group	endpoint	n	events	event_rate_pct	median_followup_yr	age_med	adv_stage_pct
DM1_subA	OS	12	0	0.0	2.4	36.5	16.7
DM1_subB	OS	7	0	0.0	1.55	34.8	14.3
DM1_unassigned	OS	112	4	3.57	2.76	41.5	30.4
DM2	OS	79	6	7.59	2.12	55.0	16.5
not_DM	OS	384	10	2.6	2.59	46.3	37.0
DM1_subA	DSS	12	0	0.0	2.4	36.5	16.7
DM1_subB	DSS	7	0	0.0	1.55	34.8	14.3
DM1_unassigned	DSS	110	2	1.82	2.75	41.4	29.1
DM2	DSS	79	4	5.06	2.12	55.0	16.5
not_DM	DSS	380	4	1.05	2.59	46.3	36.6
DM1_subA	DFI	11	0	0.0	2.06	36.3	9.1
DM1_subB	DFI	2	0	0.0	0.9	38.5	50.0
DM1_unassigned	DFI	86	7	8.14	2.51	35.0	19.8
DM2	DFI	62	5	8.06	2.18	54.9	16.1
not_DM	DFI	255	21	8.24	2.7	42.9	22.7
DM1_subA	PFI	12	1	8.33	2.4	36.5	16.7
DM1_subB	PFI	7	0	0.0	1.55	34.8	14.3
DM1_unassigned	PFI	112	11	9.82	2.75	41.5	30.4
DM2	PFI	79	10	12.66	2.01	55.0	16.5
not_DM	PFI	384	47	12.24	2.43	46.3	37.0
