comparison	n	spearman_rho	spearman_lo	spearman_hi	spearman_p	pearson_r	pearson_p
DM1 vs RAI module	527	-0.8864812868729863	-0.9034853361404727	-0.86669125458961	8.086292475142192e-178	-0.8825993086701619	3.2221865365924356e-174
HLA-I module vs RAI module	527	-0.4073807976279126	-0.47622437860859246	-0.3335735124484081	1.7349320858549918e-22	-0.3522446795822432	7.701400341163557e-17
HLA-II module vs RAI module	527	-0.4748081113549582	-0.5383879221988443	-0.40585330142227194	5.481502916278961e-31	-0.47699584064197564	2.6918049453597785e-31
IFN-gamma vs RAI module	527	-0.4228303572581533	-0.4905288871276345	-0.3500586336013071	2.8618001562284028e-24	-0.38930907872005205	1.6206918893791237e-20
DM1 vs HLA-I module	527	0.31752728829015525	0.2385836420512176	0.3923018818491426	8.262253444036571e-14	0.28346940267288534	3.3923194543541446e-11
DM1 vs HLA-II module	527	0.39257492865474924	0.31781747077042216	0.4624815764455429	7.286718488718135e-21	0.40198019736827045	6.931901332712385e-22
HLA-I vs HLA-II module	527	0.8837086043305025	0.8634701853747248	0.9011062035363014	3.107821252705415e-175	0.8714012131521223	1.6583128243839323e-164
