comparison	x	y	given	n_raw	rho_raw	p_raw	rho_partial	p_partial	n_partial	rho_attenuation_pct
DM1 x RAI | HLA-I	DM1_use	RAI_module	HLA1_score	527	-0.8864812868729863	8.086292475142192e-178	-0.8760688464503446	1.9344069077083359e-168	527	1.1745809614742253
DM1 x RAI | HLA-II	DM1_use	RAI_module	HLA2_score	527	-0.8864812868729863	8.086292475142192e-178	-0.8677432558932725	1.5701132022100627e-161	527	2.1137536975891713
DM1 x RAI | HLA-I + HLA-II	DM1_use	RAI_module	HLA1_score+HLA2_score	527	-0.8864812868729863	8.086292475142192e-178	-0.8694733743808086	6.301738697110475e-163	527	1.9185867478570429
DM1 x HLA-I | RAI	DM1_use	HLA1_score	RAI_module	527	0.31752728829015525	8.262253444036571e-14	-0.1404678379114612	0.0012248321470378252	527	55.76196343065097
DM1 x HLA-II | RAI	DM1_use	HLA2_score	RAI_module	527	0.39257492865474924	7.286718488718135e-21	-0.09041016934491912	0.038003060053583	527	76.96995840902756
HLA-I x RAI | DM1	HLA1_score	RAI_module	DM1_use	527	-0.4073807976279126	1.7349320858549918e-22	-0.3244516156934751	2.2032142694135353e-14	527	20.356674251048567
HLA-II x RAI | DM1	HLA2_score	RAI_module	DM1_use	527	-0.4748081113549582	5.481502916278961e-31	-0.3364003541077504	2.0762436000978157e-15	527	29.15025121458732
HLA-I x RAI | IFNG	HLA1_score	RAI_module	IFNG_score	527	-0.4073807976279126	1.7349320858549918e-22	-0.027010944011989984	0.5361029874054093	527	93.36960795175702
HLA-II x RAI | IFNG	HLA2_score	RAI_module	IFNG_score	527	-0.4748081113549582	5.481502916278961e-31	-0.22932256498141634	1.0204860611694857e-07	527	51.702054051477894
HLA-I x RAI | DM1 + IFNG	HLA1_score	RAI_module	DM1_use+IFNG_score	527	-0.4073807976279126	1.7349320858549918e-22	-0.015717784567780908	0.7188542584663548	527	96.14174633185903
HLA-II x RAI | DM1 + IFNG	HLA2_score	RAI_module	DM1_use+IFNG_score	527	-0.4748081113549582	5.481502916278961e-31	-0.10721999794619146	0.013791372340546493	527	77.41824636478553
