	RAI_8 (all 8)	TF_3	effector_5	TF_4 backbone	Lineage_minimal_4	Lineage_minimal_6
RAI_8 (all 8)	1.0	0.2940363778060275	0.8755610523756397	0.5158265929198393	0.8088742705258463	0.8981038321430849
TF_3	0.2940363778060275	1.0	0.25213684499979283	0.5055896477517738	0.32524911627790437	0.32524911627790437
effector_5	0.8755610523756397	0.25213684499979283	1.0	0.43839105921138766	0.7383211778152714	0.7803827322751946
TF_4 backbone	0.5158265929198393	0.5055896477517738	0.43839105921138766	1.0	0.48683730980068846	0.5329454806157733
Lineage_minimal_4	0.8088742705258463	0.32524911627790437	0.7383211778152714	0.48683730980068846	1.0	0.8014489439531104
Lineage_minimal_6	0.8981038321430849	0.32524911627790437	0.7803827322751946	0.5329454806157733	0.8014489439531104	1.0
