gene	GSE213647 (Lee 2024 RNA n=632) · ATC vs Normal	GSE213647 (Lee 2024 RNA n=632) · PDTC vs ATC	GSE213647 (Lee 2024 RNA n=632) · PTC vs ATC	GSE213647 (Lee 2024 RNA n=632) · PTC vs Normal	GSE213647 (Lee 2024 RNA n=632) · PTC vs PDTC	GSE286332 (Korean RNA n=18) · PTC vs PTC+HT	Mun 2025 (protein n=336) · PDTC vs ATC	Mun 2025 (protein n=336) · PTC vs ATC	Mun 2025 (protein n=336) · PTC vs PDTC	TCGA-THCA (RNA full) · DM1 vs DM2 (full cohort)
SLC5A5	-1.891020802398252	0.7268554409784366	0.6413935637924668	-1.215260507977234	0.3030232805325358	-0.8997195449300204	0.3964591690184009	0.3992476817940356	-0.1335095580644123	0.5709394540080153
TPO	-3.529357502405362	0.7487129581640178	0.7121665441300083	-1.5298880632880152	-0.1487830060110979	0.3281955725309967	0.7347051859580761	1.3396485917725496	0.3735755750017626	2.27993335507436
TG	-2.8160016497039173	1.2266304198397548	2.1118051208260997	-0.901178169033378	-0.5079155281386504	-0.8776752840287375	0.2001365924464667	1.81515898664972	1.5330612933673755	1.2750720450175488
TSHR	-2.5240117016700787	1.3911490003068592	2.4283310776500504	-0.5080492780533158	-0.5494538758891777	-0.1016615068194297	1.182376277732862	2.167142730923319	0.574725236884499	0.5433427390232838
PAX8	-2.2210238671790217	1.1535645914176695	2.072503779916208	-0.7672180603474065	-0.2183892920693516	0.4540444454610656	0.5664485129488008	0.8795117203007135	0.2767327342555366	1.244156949825492
NKX2-1	-2.3642114671411383	1.287393460054894	3.1015161348096023	0.0386736631829067	0.3220530701339739	0.4994577767724734				0.2367117759861567
FOXE1	-2.696134383274054	1.2597707064136836	2.924670237480876	-0.4474149392313597	0.2748534951417876	0.6124438626115104	0.99026135638255	1.7079816598090538	0.5326140098315766	1.054394217748197
DIO1	-2.3927764891025785	0.4111961525533958	0.4760698957095437	-1.3965383725727354	0.183882322423637	0.2610070140685349	0.3194546469305345	0.0386896253689439	-0.3462006041703803	2.24805547109539
