disease	n	mean	std	median	q25	q75	pct_high	pct_low	range
uveal melanoma	80	-0.5718283593364835	0.15270301367298014	-0.5725353821296828	-0.6867145699412059	-0.4689805552127016	0.0	0.7	0.21773401472850434
skin cutaneous melanoma	103	-0.48122603432989247	0.21071305847454178	-0.5028795713892776	-0.6317501955556106	-0.3580200977686969	0.0	0.5048543689320388	0.2737300977869137
colon adenocarcinoma	452	-0.3973497058709689	0.17266538223811298	-0.41434118918886353	-0.5098691464404133	-0.30190851173542443	0.0	0.26991150442477874	0.20796063470498882
rectum adenocarcinoma	160	-0.3931613372297023	0.13940404333877393	-0.3963103818114899	-0.4899822996970575	-0.296636989848938	0.0	0.2375	0.19334530984811948
glioblastoma multiforme	156	-0.37418142556513834	0.20470113038976656	-0.4128170151778395	-0.5226592067374105	-0.23511686308296265	0.0	0.2948717948717949	0.28754234365444786
adrenocortical cancer	79	-0.3725665281314826	0.21511685892638674	-0.36134422072711353	-0.5729929599889446	-0.24138520919722073	0.0	0.3291139240506329	0.3316077507917239
pheochromocytoma & paraganglioma	179	-0.3484328893774672	0.17497161296531663	-0.3482900655357039	-0.4500682002156295	-0.2531708389639995	0.00558659217877095	0.18435754189944134	0.19689736125163
sarcoma	259	-0.311734435541535	0.2180072455504883	-0.324277967346965	-0.4416951399177076	-0.20208866536409154	0.003861003861003861	0.18146718146718147	0.23960647455361606
mesothelioma	87	-0.31029013094714303	0.19808947417693873	-0.3489769421850354	-0.444878687351716	-0.2061129088592434	0.0	0.14942528735632185	0.23876577849247257
brain lower grade glioma	516	-0.2962862046590431	0.17936968570967543	-0.3095278465633517	-0.4115982205729987	-0.1788118628241989	0.0	0.12209302325581395	0.23278635774879983
cholangiocarcinoma	36	-0.2492305624080995	0.22817014629599994	-0.24824746346559737	-0.40321609444927364	-0.11931018819148603	0.0	0.16666666666666666	0.2839059062577876
bladder urothelial carcinoma	408	-0.22769267411645036	0.2614016891012424	-0.25543274780924996	-0.41327183937860756	-0.10466646387717386	0.0196078431372549	0.11519607843137254	0.3086053755014337
pancreatic adenocarcinoma	178	-0.2183359111992057	0.20730753118056303	-0.21704578791312895	-0.3571056737815201	-0.08475528962606557	0.0056179775280898875	0.07865168539325842	0.27235038415545454
diffuse large B-cell lymphoma	48	-0.21306226583795126	0.3127679658452462	-0.24251079284844151	-0.4033574998122882	-0.13105092701560306	0.041666666666666664	0.125	0.27230657279668513
kidney chromophobe	66	-0.20680051976509922	0.14936345684381497	-0.22572601653773694	-0.29290256489389166	-0.1811783598787201	0.0	0.0	0.11172420501517155
breast invasive carcinoma	1097	-0.19919726610137037	0.20026409662837327	-0.20241658500838744	-0.3423689615595149	-0.06999368047088031	0.0009115770282588879	0.061075660893345485	0.2723752810886346
stomach adenocarcinoma	415	-0.19212066441124198	0.2871803536185569	-0.20701592837850077	-0.40701692560208125	-0.021009098472927402	0.016867469879518072	0.14698795180722893	0.3860078271291538
liver hepatocellular carcinoma	371	-0.17486280496305276	0.17446401350386936	-0.17677295202258936	-0.27362877690799414	-0.07755597276190361	0.0	0.03234501347708895	0.19607280414609052
prostate adenocarcinoma	497	-0.13136010640180773	0.22646065984313418	-0.1229206446475711	-0.2695865186059738	-0.0033520962227552575	0.01006036217303823	0.056338028169014086	0.2662344223832186
kidney clear cell carcinoma	533	-0.10310522831751825	0.14931648349386756	-0.11703629214510292	-0.20225207545639504	-0.016227356926399802	0.001876172607879925	0.0	0.18602471852999525
esophageal carcinoma	184	-0.08087054494591547	0.23323916759345217	-0.06586580227959263	-0.2589173222471897	0.091155563784328	0.005434782608695652	0.03804347826086957	0.3500728860315177
uterine carcinosarcoma	57	-0.04743574187311865	0.2838677551457386	-0.056330939574759493	-0.2084461848004836	0.14747016851756867	0.05263157894736842	0.05263157894736842	0.35591635331805227
cervical & endocervical cancer	305	-0.047146267525155994	0.26115737149981866	-0.07196144975651855	-0.24231182978423144	0.10577066213966137	0.036065573770491806	0.013114754098360656	0.3480824919238928
uterine corpus endometrioid carcinoma	532	-0.03165055946663859	0.28453310768177503	-0.06286695973362336	-0.2204308720210148	0.14333438450401884	0.05075187969924812	0.03195488721804511	0.36376525652503366
kidney papillary cell carcinoma	290	-0.014605990595482602	0.21335189198841506	-0.03220668023022341	-0.16017901005691862	0.10863303367708754	0.017241379310344827	0.0034482758620689655	0.26881204373400613
head & neck squamous cell carcinoma	520	0.0009642902996898158	0.24030491476939067	-0.007072302570521379	-0.18366127923572442	0.16874072921795316	0.026923076923076925	0.009615384615384616	0.3524020084536776
ovarian serous cystadenocarcinoma	305	0.034290955768202194	0.23160951406694097	0.024759218848652842	-0.11596484212391032	0.18751144807253825	0.013114754098360656	0.006557377049180328	0.30347629019644856
testicular germ cell tumor	150	0.06590157800038521	0.157988614653681	0.0501127196703713	-0.03994840875975776	0.1791504163623096	0.006666666666666667	0.0	0.21909882512206735
lung adenocarcinoma	515	0.18215525128925786	0.22792289975665916	0.17734982140963812	0.031995862448970395	0.3292188401245897	0.09514563106796116	0.001941747572815534	0.2972229776756193
lung squamous cell carcinoma	503	0.18597871027516083	0.22172601080256607	0.18713548581729145	0.047096777617071726	0.3267155859566684	0.07554671968190854	0.0019880715705765406	0.2796188083395967
thymoma	120	0.22554634104380072	0.22656875129792686	0.26782595089298067	0.05598467458343168	0.3580152606873477	0.10833333333333334	0.0	0.302030586103916
thyroid carcinoma	505	2.365849734755229	0.4430845888843221	2.296769890680695	2.0128442930616512	2.6922160017685908	1.0	0.0	0.6793717087069395
