cohort	sample	group	score
GSE286332	NG_10	PTC	0.6478523682322893
GSE286332	NG_11	PTC	0.4407687271974002
GSE286332	NG_12	PTC	0.7084382331042042
GSE286332	NG_16	PTC	0.7993332523237452
GSE286332	NG_18	PTC	0.7541177764539317
GSE286332	NG_21	PTC	0.4077341437090042
GSE286332	NG_22	PTC	0.2247628652341826
GSE286332	NG_32	PTC	0.985734236500534
GSE286332	NG_35	PTC	-0.4560436081885624
GSE286332	TH_1	PTC+HT	-1.299957438745321
GSE286332	TH_14	PTC+HT	-0.5628721357902021
GSE286332	TH_2	PTC+HT	-0.6981355964380516
GSE286332	TH_20	PTC+HT	-0.3050333226605294
GSE286332	TH_29	PTC+HT	-0.6878019700487816
GSE286332	TH_31	PTC+HT	0.6019216925440196
GSE286332	TH_4	PTC+HT	-0.3112883814857931
GSE286332	TH_8	PTC+HT	-1.8024206523460264
GSE286332	TH_9	PTC+HT	0.5528898104039603
TCGA-THCA	TCGA-DJ-A2Q6-01A	DM2	-0.605637792695587
TCGA-THCA	TCGA-FK-A3SE-01A	DM2	0.043640311780097085
TCGA-THCA	TCGA-DJ-A2QA-01A	DM2	0.282270802122242
TCGA-THCA	TCGA-FY-A2QD-01A	DM1	0.7250609992232421
TCGA-THCA	TCGA-EL-A3GR-01A	DM2	0.09378334427675478
TCGA-THCA	TCGA-EL-A3T7-01A	DM2	-0.5152929288359004
TCGA-THCA	TCGA-FE-A230-01A	DM2+hashi	-0.4543387793705293
TCGA-THCA	TCGA-EM-A3FO-01A	DM2	-0.09067699158019016
TCGA-THCA	TCGA-DJ-A3VB-01A	DM2	-0.8374277472427016
TCGA-THCA	TCGA-BJ-A28X-01A	DM2+hashi	-0.6233895163688172
TCGA-THCA	TCGA-DJ-A2QB-01A	DM1	-0.13559026706636293
TCGA-THCA	TCGA-DO-A1K0-01A	DM2	-0.513581375248348
TCGA-THCA	TCGA-EL-A4KD-01A	DM2	0.6708833128239919
TCGA-THCA	TCGA-BJ-A192-01A	DM1	0.35505230581811026
TCGA-THCA	TCGA-L6-A4EU-01A	DM2	-0.6562212882085836
TCGA-THCA	TCGA-DJ-A3V0-01A	DM2	-0.47657254124320225
TCGA-THCA	TCGA-EM-A2P2-01A	DM1	0.09278016933892014
TCGA-THCA	TCGA-BJ-A45G-01A	DM1	0.9893520913254503
TCGA-THCA	TCGA-FY-A3R7-01A	DM2	0.5621382071548413
TCGA-THCA	TCGA-DJ-A3VG-01A	DM1	1.0160364791430236
TCGA-THCA	TCGA-ET-A25O-01A	DM2	-0.49946012286801716
TCGA-THCA	TCGA-DJ-A3UR-01A	DM2	-0.2882043220984757
TCGA-THCA	TCGA-E8-A415-01A	DM2	0.16292697571531006
TCGA-THCA	TCGA-DJ-A4UR-01A	DM1	0.5189689704022011
TCGA-THCA	TCGA-DJ-A13L-01A	DM2+hashi	-0.847390027553903
TCGA-THCA	TCGA-BJ-A45I-01A	DM2+hashi	-1.1268024598568178
TCGA-THCA	TCGA-ET-A40S-01A	DM2+hashi	-0.36228833971071095
