contrast	n_a	n_b	drop_gene	cohens_d	d_diff_vs_full
TCGA-THCA DM1 vs DM2	140	360	(none, full panel)	1.7874256395411319	0.0
TCGA-THCA DM1 vs DM2	140	360	TG	1.7533888598595635	-0.034036779681568374
TCGA-THCA DM1 vs DM2	140	360	TPO	1.5627880336439275	-0.22463760589720438
TCGA-THCA DM1 vs DM2	140	360	TSHR	1.9594307415783394	0.17200510203720754
TCGA-THCA DM1 vs DM2	140	360	PAX8	1.7981683782509006	0.010742738709768718
TCGA-THCA DM1 vs DM2	140	360	FOXE1	1.7752014674577128	-0.012224172083419083
TCGA-THCA DM1 vs DM2	140	360	NKX2-1	1.8672384601007839	0.079812820559652
TCGA-THCA DM1 vs DM2	140	360	DIO1	1.5382697062072572	-0.24915593333387465
TCGA-THCA DM1 vs DM2	140	360	SLC5A5	1.8272966946507634	0.039871055109631515
GSE213647 ATC vs Normal	16	263	(none, full panel)	-3.055135148729273	0.0
GSE213647 ATC vs Normal	16	263	TG	-3.0343155807317306	0.020819567997542254
GSE213647 ATC vs Normal	16	263	TPO	-2.9593092364984313	0.09582591223084158
GSE213647 ATC vs Normal	16	263	TSHR	-3.0284634583361	0.026671690393172742
GSE213647 ATC vs Normal	16	263	PAX8	-3.171140666392443	-0.11600551766317002
GSE213647 ATC vs Normal	16	263	FOXE1	-3.068041298859738	-0.012906150130465033
GSE213647 ATC vs Normal	16	263	NKX2-1	-3.118353439438987	-0.06321829070971408
GSE213647 ATC vs Normal	16	263	DIO1	-2.994573958675297	0.06056119005397598
GSE213647 ATC vs Normal	16	263	SLC5A5	-2.977866026977429	0.07726912175184397
GSE213647 PTC vs ATC	348	16	(none, full panel)	2.466287705642493	0.0
GSE213647 PTC vs ATC	348	16	TG	2.4364118329402866	-0.029875872702206152
GSE213647 PTC vs ATC	348	16	TPO	2.7037601009764165	0.23747239533392372
GSE213647 PTC vs ATC	348	16	TSHR	2.3142385112938686	-0.15204919434862418
GSE213647 PTC vs ATC	348	16	PAX8	2.43295922471759	-0.03332848092490259
GSE213647 PTC vs ATC	348	16	FOXE1	2.23307008680552	-0.23321761883697256
GSE213647 PTC vs ATC	348	16	NKX2-1	2.136154915906135	-0.33013278973635796
GSE213647 PTC vs ATC	348	16	DIO1	2.7011287851793506	0.23484107953685784
GSE213647 PTC vs ATC	348	16	SLC5A5	2.6068410229722105	0.14055331732971776
Mun 2025 (protein) PTC vs ATC	177	113	(none, full panel)	1.9898955840739703	0.0
Mun 2025 (protein) PTC vs ATC	177	113	TG	1.8053569581205848	-0.18453862595338544
Mun 2025 (protein) PTC vs ATC	177	113	TPO	2.019778345407933	0.029882761333962726
Mun 2025 (protein) PTC vs ATC	177	113	TSHR	1.6985540013315803	-0.29134158274238997
Mun 2025 (protein) PTC vs ATC	177	113	PAX8	1.9389988699986445	-0.05089671407532581
Mun 2025 (protein) PTC vs ATC	177	113	FOXE1	1.8215469262591868	-0.16834865781478348
Mun 2025 (protein) PTC vs ATC	177	113	DIO1	2.0650923770757967	0.07519679300182647
Mun 2025 (protein) PTC vs ATC	177	113	SLC5A5	2.209137338602406	0.21924175452843553
