outcome	covariate	model	n	n_events	HR	HR_lo95	HR_hi95	p
OS	DM1	univariate	500	16	1.7724412376616823	0.6080257432507067	5.16680087288397	0.29440189256181437
OS	age	univariate	487	14	1.1296221090833378	1.0817037746268505	1.1796631751332098	3.564295627487742e-08
OS	braf	univariate	455	14	0.49110527099916457	0.17114606312750827	1.4092312893196628	0.18612093843100289
OS	ras	univariate	455	14	0.8287689116375546	0.10700726406388816	6.418797031263332	0.8572904498980433
OS	hashi_otsu	univariate	500	16	0.5287893000979941	0.12010961151020196	2.3280245467647362	0.39947802471492955
OS	DM1	multivariate (DM1+age+BRAF+RAS)	443	12	0.8176947012183899	0.08728464638865113	7.660277632602833	0.8600456083621456
OS	age	multivariate (DM1+age+BRAF+RAS)	443	12	1.118356015904594	1.062447070551647	1.1772070468043117	1.911723037916916e-05
OS	braf	multivariate (DM1+age+BRAF+RAS)	443	12	0.9254301823252208	0.20717807631383564	4.133743480951987	0.919165490202911
OS	ras	multivariate (DM1+age+BRAF+RAS)	443	12	1.7374954543414332	0.12242075850052646	24.65995547515057	0.6831476472707677
DSS	DM1	univariate	494	7	2.5313903703506635	0.5587309738066975	11.468734520740934	0.22826159887912956
DSS	age	univariate	481	5	1.1712064698515476	1.064340839810909	1.2888019924762306	0.0012066198015942217
DSS	braf	univariate	449	5	0.3425754821255625	0.05674856061437501	2.068034143650748	0.24286624565814624
DSS	ras	univariate	449	5	2.839483499555015e-07	0.0	inf	0.9952170134114423
DSS	hashi_otsu	univariate	494	7	0.6363139402438803	0.07653770302905867	5.290143478632589	0.6756910398868032
DSS	DM1	multivariate (DM1+age+BRAF+RAS)	437	3	7.490307849682398e-09	0.0	inf	0.9969975046410454
DSS	age	multivariate (DM1+age+BRAF+RAS)	437	3	1.1390830727834858	1.0384706636229812	1.2494433325397543	0.005779375786364107
DSS	braf	multivariate (DM1+age+BRAF+RAS)	437	3	0.04289836451601734	0.003093481767247233	0.5948862209673468	0.018920410601621983
DSS	ras	multivariate (DM1+age+BRAF+RAS)	437	3	2.85859937340847e-06	0.0	inf	0.9961395548749534
PFI	DM1	univariate	500	51	1.1442775198298887	0.6173373167460992	2.1209977217796543	0.6686196430422917
PFI	age	univariate	487	49	1.0210335202947038	1.0037565524069967	1.0386078646913632	0.01682156338403339
PFI	braf	univariate	455	45	1.1020589438311996	0.5981149455934327	2.0306028542278156	0.7553015528682488
PFI	ras	univariate	455	45	1.5256840804856897	0.6800865928786273	3.422669903835148	0.3054827096802669
PFI	hashi_otsu	univariate	500	51	1.1173472212572053	0.5731071732343297	2.178414214928577	0.7446263496929351
PFI	DM1	multivariate (DM1+age+BRAF+RAS)	443	43	0.7022135819765508	0.20602794195253418	2.393383683975943	0.5720380827472593
PFI	age	multivariate (DM1+age+BRAF+RAS)	443	43	1.016512144374808	0.9978276571067828	1.0355465017451324	0.08359225781859032
PFI	braf	multivariate (DM1+age+BRAF+RAS)	443	43	1.2874020975422662	0.5099395807632611	3.250197127815569	0.5928883145836896
PFI	ras	multivariate (DM1+age+BRAF+RAS)	443	43	2.528904066152197	0.8017178441325024	7.977065525741417	0.11344106465635298
