gene	median_DM1	median_DM2	cohens_d	mw_p
NANOG	0.155	-0.156	0.062	0.6073146264525884
OCT4	-0.666	-0.166	-0.173	0.011011575771234293
SOX2	-0.133	-0.212	0.296	0.0010367257401318792
KLF4	-0.437	-0.688	0.557	8.039402930082778e-06
MYC	0.008	-0.712	0.722	2.2525915523673266e-12
ALDH1A1	-0.202	0.931	-0.989	8.655315769084413e-11
CD44	0.241	-1.362	0.63	1.0136608346579288e-05
PROM1	-0.234	-0.264	0.413	0.0090481064011784
EPCAM	-0.402	-0.36	0.128	0.28281478596137277
BMI1	0.209	-0.404	0.724	2.7325250879397108e-06
