variant	variant_code	n_genes	n_8gene_overlap	ari_vs_orig	kappa_vs_orig	n_DM1	n_DM2	auc_8gene_logreg	ci_lo	ci_hi	auc_8gene_rf	auc_braf_only	delta_auc
A_TIERA67_minus8	A	47	0	0.6417	-0.7931	140	360	0.9623	0.9403	0.9789	0.9793	0.8494	0.1129
B_MAPK_immune_EMT	B	30	0	0.5655	0.7309	446	54	0.9251	0.8952	0.9519	0.9529	0.7948	0.1303
C_immune_5feature	C	5	0	0.0667	-0.3975	385	115	0.6642	0.612	0.7147	0.6942	0.4898	0.1744
D_BRS71_minus8	D	26	0	0.6797	-0.7888	128	372	0.9575	0.9356	0.976	0.9741	0.8466	0.1109
