study_id	name	n_samples	has_mutations
thyroid_mskcc_2016	Poorly-Differentiated and Anaplastic Thyroid Cancers (MSK, JCI 2016)	117	True
thca_tcga_pan_can_atlas_2018	Thyroid Carcinoma (TCGA, PanCancer Atlas)	490	True
thyroid_gatci_2024	Anaplastic Thyroid Cancers (GATCI, Cell Reports 2024)	190	True
thca_tcga_pub	Papillary Thyroid Carcinoma (TCGA, Cell 2014)	496	True
thpa_tcga_gdc	Papillary Thyroid Cancer (TCGA GDC, 2025)	496	True
thca_tcga	Thyroid Carcinoma (TCGA, Firehose Legacy)	405	True
