cohort	cohort_type	histology	n	tert_pos	pct	source
TCGA-THCA	unselected (population-like)	PTC	513.0	36.0	7.1	cBioPortal thca_tcga_pub recovery (v17_tert_recovery_v2)
Yang Korean 2022	real-world hospital cohort	PTC	2020.0	57.0	2.8	Yang H et al. Endocrinol Metab (Seoul). 2022;37:652-63.
Yang Korean 2022	real-world hospital cohort	PTMC	1144.0	6.0	0.5	Yang H et al. Endocrinol Metab (Seoul). 2022;37:652-63.
Yang Korean 2022	real-world hospital cohort	PTC_gt_1cm	877.0	51.0	5.8	Yang H et al. Endocrinol Metab (Seoul). 2022;37:652-63.
Yang Korean 2022	real-world hospital cohort	FTC	38.0	7.0	18.4	Yang H et al. Endocrinol Metab (Seoul). 2022;37:652-63.
Yang Korean 2022	real-world hospital cohort	PDTC	13.0	3.0	23.0	Yang H et al. Endocrinol Metab (Seoul). 2022;37:652-63.
Yang Korean 2022	real-world hospital cohort	ATC	7.0	4.0	57.1	Yang H et al. Endocrinol Metab (Seoul). 2022;37:652-63.
Yang Korean 2022	real-world hospital cohort	HTC	14.0	1.0	7.1	Yang H et al. Endocrinol Metab (Seoul). 2022;37:652-63.
Yang Korean 2022	real-world hospital cohort	ALL (mixed)	2092.0	72.0	3.4	Yang H et al. Endocrinol Metab (Seoul). 2022;37:652-63.
MSK-IMPACT	advanced / refractory enriched	PTC			63.4	v17 prior-art (advanced/refractory PTC enrichment)
