driver	n	concordance_pct	d4p2_DM1_panel_DM1	d4p2_DM1_panel_DM2	d4p2_DM2_panel_DM1	d4p2_DM2_panel_DM2	RAI_8_median	sig_score_median
BRAF V600E	318	11.9	0	20	260	38	-0.311	-0.054
BRAF·RAS-neg	128	22.7	9	58	41	20	0.368	-0.366
RAS	54	13.0	6	47	0	1	0.699	-0.764
