cohort	score	n	n_event	HR_per_z	HR_lo	HR_hi	p
GSE176307	DM1_inflam_composite	90	36	0.6145428901844713	0.4343944689575941	0.8694009497463258	0.005948271618396686
GSE176307	lineage_portable_DM1	90	36	0.566699704464068	0.38524961794312157	0.8336116120096361	0.003924370858676246
GSE176307	cytolytic_GZMA_PRF1	90	36	0.6605231926565277	0.4636787583414976	0.9409335238856161	0.02160730031224823
GSE176307	IFNG_T_cell_inflamed	90	36	0.6219201433129531	0.4250267278523823	0.9100243333231971	0.014468395018610485
GSE176307	HLA_class_I	90	36	0.6190302692278524	0.42922961860861536	0.8927586951303087	0.01025320089227951
GSE176307	HLA_class_II	90	36	0.6844957531423993	0.4911335673043778	0.9539857734456346	0.025215458944615365
GSE176307	TLS_CXCL13_like	90	36	0.7668876915286342	0.5470261693369942	1.0751162638725784	0.12361495153333407
GSE176307	myeloid_suppressive	90	36	0.6414908083682775	0.44963233383242684	0.9152154466149931	0.014341196864016196
GSE176307	checkpoint_exhaustion	90	36	0.5988735160407163	0.4194481747171248	0.8550507782203193	0.004775050629691335
IMvigor210	DM1_inflam_composite	348	232	0.8985020404797414	0.7908370214245254	1.0208246388011377	0.10028573000790798
IMvigor210	lineage_portable_DM1	348	232	0.9680121080656311	0.8501927576709224	1.1021588138773146	0.6234425072735559
IMvigor210	cytolytic_GZMA_PRF1	348	232	0.880461551494354	0.7733233535312135	1.0024429497958451	0.05446670835039688
IMvigor210	IFNG_T_cell_inflamed	348	232	0.8100374365708476	0.7093901684207173	0.9249643959783798	0.0018567686464355765
IMvigor210	HLA_class_I	348	232	0.864926093698842	0.7618378970911609	0.981963683373474	0.02502257438640017
IMvigor210	HLA_class_II	348	232	0.9340382976678874	0.8219434992338861	1.0614203315963857	0.2954995939689208
IMvigor210	TLS_CXCL13_like	348	232	0.8866074453741261	0.7742320545308448	1.0152934867430208	0.08177602647880503
IMvigor210	myeloid_suppressive	348	232	1.0730426474922257	0.9428922718756133	1.2211580873886096	0.28524151415707566
IMvigor210	checkpoint_exhaustion	348	232	0.8458033899868551	0.7414834916238766	0.9648001372849713	0.012648392645491715
