cohort	cancer_type	score	n_total	n_with_resp	n_R	n_NR	cohens_d	auc	t_p	wilcoxon_p	logOR_per_z	logOR_se	logOR_p
GSE176307	urothelial_carcinoma	DM1_inflam_composite	90	61	11	50	0.17951427391141475	0.5618181818181818	0.6102247648577128	0.5297210278509232	0.18952501793952667	0.33529317144804927	0.5719026110102166
GSE176307	urothelial_carcinoma	lineage_portable_DM1	90	61	11	50	0.36655170356289324	0.6	0.328933855217582	0.306603766115202	0.3903374859741118	0.32480945501324404	0.22946311912710282
GSE176307	urothelial_carcinoma	cytolytic_GZMA_PRF1	90	61	11	50	0.052270087832513815	0.5127272727272727	0.8863354486835696	0.9029508505364452	0.05802852691275247	0.33267083736364783	0.8615257609537607
GSE176307	urothelial_carcinoma	IFNG_T_cell_inflamed	90	61	11	50	0.2957211126737774	0.6127272727272727	0.39800097542247986	0.2486279159055116	0.29529429029293913	0.3255173767701279	0.3643255279602242
GSE176307	urothelial_carcinoma	HLA_class_I	90	61	11	50	0.26874023037431255	0.5745454545454546	0.4595045177748521	0.44740639061873544	0.29051171491353533	0.33560196877660387	0.38668560776064154
GSE176307	urothelial_carcinoma	HLA_class_II	90	61	11	50	0.013977537769919071	0.5181818181818182	0.9665179704619528	0.8585564554291408	0.014090453616527943	0.3356761397551644	0.9665175645530656
GSE176307	urothelial_carcinoma	TLS_CXCL13_like	90	61	11	50	-0.10044324699284574	0.49272727272727274	0.7622773361238024	0.947650854232194	-0.10141273671482082	0.33805804768247766	0.7641877099012606
GSE176307	urothelial_carcinoma	myeloid_suppressive	90	61	11	50	0.0720569216026978	0.5381818181818182	0.8341625524058341	0.7005613443266143	0.07485262509059844	0.33525999458731476	0.8233274030833924
GSE176307	urothelial_carcinoma	checkpoint_exhaustion	90	61	11	50	0.28322165618185735	0.5745454545454545	0.4401007055494084	0.44740639061873544	0.3059826493403606	0.3322814900257184	0.3571267987848187
IMvigor210	urothelial_carcinoma	DM1_inflam_composite	348	298	68	230	0.11358857948908105	0.5410485933503837	0.41732936295596035	0.30412775840704853	0.11563096117241817	0.13885023670952168	0.40497181836122886
IMvigor210	urothelial_carcinoma	lineage_portable_DM1	348	298	68	230	0.07509753371890573	0.5228900255754476	0.577771003484051	0.566860770479968	0.07321306237754195	0.13758562175804945	0.5946378459113707
IMvigor210	urothelial_carcinoma	cytolytic_GZMA_PRF1	348	298	68	230	0.25492072291688905	0.5793478260869566	0.0699010044740291	0.04690437164673378	0.25282158999657367	0.13696630588692457	0.06491151308220251
IMvigor210	urothelial_carcinoma	IFNG_T_cell_inflamed	348	298	68	230	0.42188273139010807	0.6158567774936061	0.0035427244779145874	0.003709658577525483	0.4196593265363389	0.13807244752595968	0.0023703888801097465
IMvigor210	urothelial_carcinoma	HLA_class_I	348	298	68	230	0.3021124089189725	0.5819693094629156	0.03492978450619273	0.04008802268367892	0.3136742118329157	0.14164424332030742	0.026792930403809426
IMvigor210	urothelial_carcinoma	HLA_class_II	348	298	68	230	-0.04768864152370484	0.5062659846547315	0.7316948809403523	0.8758866476338915	-0.04804213708881366	0.13794508483711837	0.7276374087258224
IMvigor210	urothelial_carcinoma	TLS_CXCL13_like	348	298	68	230	0.03416213238054404	0.52653452685422	0.8006746985174096	0.5066970532707187	0.03335640483405787	0.13726472079681237	0.8079993154237108
IMvigor210	urothelial_carcinoma	myeloid_suppressive	348	298	68	230	-0.21146988840718545	0.43849104859335036	0.1233049452742576	0.12350398433243137	-0.20880493381828336	0.1386733438239431	0.1321359070938614
IMvigor210	urothelial_carcinoma	checkpoint_exhaustion	348	298	68	230	0.20558247507579291	0.565473145780051	0.14015948988643664	0.10109889531396785	0.2046471604376123	0.13767651110284682	0.13716414458213025
MGH_GSE115821	melanoma	DM1_inflam_composite	13	13	2	11	1.2237511307608955	0.8181818181818182	0.24961785150615295	0.23076923076923078	1.1534781429592278	0.8869736760840546	0.19344167494295417
MGH_GSE115821	melanoma	lineage_portable_DM1	13	13	2	11	2.478550439646189	0.9545454545454545	0.04150340861282277	0.05128205128205128	4.464159235895843	3.407254785535317	0.1901307649509565
MGH_GSE115821	melanoma	cytolytic_GZMA_PRF1	13	13	2	11	-0.1625100014579416	0.40909090909090906	0.8534074938407246	0.7692307692307692	-0.18718170411455365	0.8486829494453161	0.8254385427038798
MGH_GSE115821	melanoma	IFNG_T_cell_inflamed	13	13	2	11	0.8495396544364764	0.7272727272727273	0.46923569187256553	0.41025641025641024	0.8784797147722506	0.7518886803385427	0.2426599436700111
MGH_GSE115821	melanoma	HLA_class_I	13	13	2	11	0.5974970762081855	0.6818181818181819	0.5612643819797718	0.5128205128205128	0.735670106586877	0.9036304668430265	0.41557210748044293
MGH_GSE115821	melanoma	HLA_class_II	13	13	2	11	0.7144573065575214	0.7727272727272727	0.4190331519219837	0.3076923076923077	0.7329147598306683	0.8703797744245835	0.3997525902154294
MGH_GSE115821	melanoma	TLS_CXCL13_like	13	13	2	11	0.06223516615483945	0.45454545454545453	0.9548435040326357	0.923076923076923	0.09167178037861577	0.7947015288678445	0.908164757373096
MGH_GSE115821	melanoma	myeloid_suppressive	13	13	2	11	2.4552177376079554	0.9090909090909091	0.00017091835305994114	0.10256410256410256	4.663876744642906	4.024246343167625	0.24647895239722106
MGH_GSE115821	melanoma	checkpoint_exhaustion	13	13	2	11	1.2403108548366548	0.8636363636363635	0.222620031506683	0.15384615384615385	1.0614077819934717	0.8292755346305806	0.20057266229736959
riaz_GSE91061	melanoma	DM1_inflam_composite	51	49	10	39	0.4480149489662518	0.6333333333333333	0.24466700626154694	0.20140540002370244	0.49856781870455763	0.38500524188708246	0.19533274660069821
riaz_GSE91061	melanoma	lineage_portable_DM1	51	49	10	39	0.4891522990332723	0.6256410256410256	0.20439914965174072	0.22892333819938304	0.5243499129684509	0.3749082532865115	0.1619303814374955
riaz_GSE91061	melanoma	cytolytic_GZMA_PRF1	51	49	10	39	0.38178179241323307	0.6230769230769231	0.32731869096851374	0.23866508081821725	0.4278725407043927	0.3755760510616042	0.25460164471923097
riaz_GSE91061	melanoma	IFNG_T_cell_inflamed	51	49	10	39	0.46188781258537487	0.6205128205128205	0.23660147132999634	0.24869576973822805	0.5044125339222326	0.37354836712209033	0.17691103980420686
riaz_GSE91061	melanoma	HLA_class_I	51	49	10	39	0.12871402795020098	0.535897435897436	0.7168691564221822	0.7377052117394292	0.1321784461674473	0.36402556026654387	0.7165286143533167
riaz_GSE91061	melanoma	HLA_class_II	51	49	10	39	0.39404457919562325	0.6000000000000001	0.30511191554786965	0.3395435851231504	0.4341873106749779	0.3764420218078896	0.24874724118035407
riaz_GSE91061	melanoma	TLS_CXCL13_like	51	49	10	39	0.5391242537386074	0.6025641025641025	0.21741363212306888	0.3271481194082445	0.5798014188658811	0.3346456964743899	0.0831698267311338
riaz_GSE91061	melanoma	myeloid_suppressive	51	49	10	39	0.2454251671512617	0.5538461538461539	0.4672511152653838	0.6110730036846653	0.23566450351744658	0.3589428765043984	0.5114693079146235
riaz_GSE91061	melanoma	checkpoint_exhaustion	51	49	10	39	0.5635172601563614	0.6538461538461539	0.16132418899898598	0.1399403106708072	0.6201732270630532	0.37648163358070535	0.09949910889138786
