score	k_cohorts_with_response	n_total_R+NR	n_cohorts_d_positive	mean_cohens_d	median_AUC	pooled_OR_per_z	pooled_p	k_cohorts_with_OS	n_cohorts_HR_lt_1	median_HR_OS	go_no_go
DM1_inflam_composite	4	421	4	0.491	0.598	1.2	0.13134973654510662	2	2	0.757	YELLOW
lineage_portable_DM1	4	421	4	0.852	0.613	1.183	0.16113026974109457	2	2	0.767	YELLOW
cytolytic_GZMA_PRF1	4	421	3	0.132	0.546	1.267	0.04622678256544366	2	2	0.77	GREEN
IFNG_T_cell_inflamed	4	421	4	0.507	0.618	1.527	0.00036949719885859267	2	2	0.716	GREEN
HLA_class_I	4	421	4	0.324	0.578	1.347	0.014360674815456997	2	2	0.742	GREEN
HLA_class_II	4	421	3	0.269	0.559	1.024	0.8451524365763519	2	2	0.809	YELLOW
TLS_CXCL13_like	4	421	3	0.134	0.51	1.09	0.4656234683490612	2	2	0.827	YELLOW
myeloid_suppressive	4	421	3	0.64	0.546	0.889	0.3300115877312131	2	1	0.857	YELLOW
checkpoint_exhaustion	4	421	4	0.573	0.614	1.319	0.020138743715473195	2	2	0.722	GREEN
