module	n_total	n_present	fraction	missing	cohort
HLA_class_I	9	9	1.0		GSE176307
HLA_class_II	8	8	1.0		GSE176307
IFNG_T_cell_inflamed	10	10	1.0		GSE176307
TLS_CXCL13_like	9	8	0.889	JCHAIN	GSE176307
checkpoint_exhaustion	8	8	1.0		GSE176307
myeloid_suppressive	8	8	1.0		GSE176307
thyroid_differentiation	8	7	0.875	TPO	GSE176307
HLA_class_I	9	9	1.0		IMvigor210
HLA_class_II	8	8	1.0		IMvigor210
IFNG_T_cell_inflamed	10	10	1.0		IMvigor210
TLS_CXCL13_like	9	8	0.889	JCHAIN	IMvigor210
checkpoint_exhaustion	8	8	1.0		IMvigor210
myeloid_suppressive	8	8	1.0		IMvigor210
thyroid_differentiation	8	8	1.0		IMvigor210
HLA_class_I	9	9	1.0		MGH_GSE115821
HLA_class_II	8	8	1.0		MGH_GSE115821
IFNG_T_cell_inflamed	10	10	1.0		MGH_GSE115821
TLS_CXCL13_like	9	9	1.0		MGH_GSE115821
checkpoint_exhaustion	8	8	1.0		MGH_GSE115821
myeloid_suppressive	8	8	1.0		MGH_GSE115821
thyroid_differentiation	8	8	1.0		MGH_GSE115821
HLA_class_I	9	9	1.0		riaz_GSE91061
HLA_class_II	8	8	1.0		riaz_GSE91061
IFNG_T_cell_inflamed	10	10	1.0		riaz_GSE91061
TLS_CXCL13_like	9	8	0.889	JCHAIN	riaz_GSE91061
checkpoint_exhaustion	8	8	1.0		riaz_GSE91061
myeloid_suppressive	8	8	1.0		riaz_GSE91061
thyroid_differentiation	8	8	1.0		riaz_GSE91061
