score	top_k	precision	high_leakage_fraction	median_claim_safe_score	priority_review_rows
barneo_x_discovery_score	10	0.9	0.2	0.4926774533321118	1
barneo_x_discovery_score	20	0.95	0.6	0.19137999567285724	1
barneo_x_discovery_score	50	0.98	0.84	0.1902884440650418	1
barneo_x_discovery_score	100	0.99	0.85	0.18919845077836145	1
barneo_x_claim_safe_score	10	0.9	0.0	0.4926774533321118	1
barneo_x_claim_safe_score	20	0.85	0.0	0.45478755122960196	1
barneo_x_claim_safe_score	50	0.62	0.0	0.3612948979247754	1
barneo_x_claim_safe_score	100	0.56	0.23	0.25712466410250023	1
