cluster_1,,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell
cluster_2,,Fibroblast,Malignant cell,Myeloid cell,Fibroblast,Malignant cell,Myeloid cell,Fibroblast,Malignant cell,Myeloid cell
source,target,,,,,,,,,
CCL2,MMP14,0.5806948332874864,0.6016847713101476,0.6971783559875112,0.19226512401243334,0.2132550620350946,0.3087486467124582,0.5068788383301203,0.5278687763527815,0.6233623610301451
TNFSF9,TNFRSF9,0.0,0.0211345148463266,0.02820184019794253,0.0,0.029820009082229926,0.036887334433845856,0.0,0.016452391514988764,0.023519716866604694
SHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IHH,PTCH1,0.0,0.0,0.0,0.0,0.01379735641889556,0.0,0.0,0.0,0.0
JAG1,NOTCH3,0.602279868390825,0.4766225542111794,0.549440578206793,0.5712956499697204,0.4456383357900747,0.5184563597856884,0.5830901253318029,0.4574328111521573,0.5302508351477709
HLA-DRB5,CTSL,0.0,0.0,0.0,0.2521165437831376,0.15494236660865898,0.32625157080263006,0.0,0.0,0.0
HLA-DQA2,CTSL,0.0,0.0,0.0,0.2630555919649088,0.16588141479043023,0.3371906189844013,0.2672394364427178,0.17006525926823923,0.3413744634622103
HLA-DRB1,CTSL,1.403915673494339,1.3067414963198605,1.4780507005138315,1.3520249070859203,1.2548507299114418,1.4261599341054128,1.6919231025171486,1.59474892534267,1.766058129536641
IL2,IL2RA,0.0,0.0,0.0,0.0,0.0,0.0,0.11032254426969021,0.02566308270072033,0.0870056502617799
HLA-DQB2,CTSL,0.2634576139626679,0.16628343678818935,0.3375926409821604,0.2734581217449654,0.17628394457048682,0.3475931487644579,0.2653386137444219,0.16816443656994334,0.3394736407639144
HLA-DRA,CTSL,1.4182584230546598,1.3210842458801813,1.4923934500741523,1.3963359687503458,1.2991617915758673,1.4704709957698383,1.7267768922306241,1.6296027150561456,1.8009119192501166
IL1RN,IL1R2,0.025461706850263808,0.017024682261788007,0.029375325234364064,0.04350096584262237,0.035063941254146566,0.04741458422672262,0.041209009316977886,0.03277198472850208,0.04512262770107814
IL1B,IL1R2,0.0,0.0,0.0,0.017945506434550083,0.00950848184607428,0.02185912481865034,0.0,0.0,0.0
GAS1,SHH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHH,GAS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1A,IL1R2,0.0,0.0,0.0,0.0162702563334205,0.0078332317449447,0.020183874717520756,0.0,0.0,0.0
DLL1,NOTCH3,0.0,0.0,0.0,0.45257583911948507,0.3269185249398394,0.3997365489354531,0.4558482980745351,0.33019098389488943,0.4030090078905031
DLL4,NOTCH4,0.06062858413766931,0.06236983438091508,0.04562700782446061,0.06969346499782267,0.07143471524106845,0.05469188868461397,0.04705845406561186,0.04879970430885763,0.032056877752403165
IL13,IL13RA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL22,IL20RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL20,IL20RA,0.0,0.0,0.0,0.0,0.0031944000991680124,0.004995981939398619,0.0,0.0,0.0
IL24,IL20RA,0.0,0.0,0.0,0.0,0.00894499358958412,0.010746575429814727,0.0,0.0,0.0
FGF7,FGFR2,0.15458865408544187,0.17396202810723452,0.0,0.03883526731664598,0.05820864133843862,0.0,0.1985091480671528,0.21788252208894546,0.0
IL22,IL22RA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
