AUROC	AUPRC	Brier	ECE	n	n_pos	split	aggregator
0.7663617171006334	0.6397707830035602	0.4596885773361144	0.48957879879535776	78	29	ext_venus_test	max_score
0.5932441942294159	0.5010376639858022	0.22740415031952294	0.020187782171445012	78	29	ext_venus_test	mean_score
0.772695285010556	0.6178412143463147	0.4303467233205387	0.45950566270412546	78	29	ext_venus_test	top10_mean
0.6558761435608726	0.5307265593674766	0.3952483349153892	0.4109051372760381	78	29	ext_venus_test	top1pct_mean
0.6842827728208648	0.527570919655551	0.4324670873126055	0.45139532058666915	78	31	ext_venus_valid	max_score
0.5072065888812629	0.42887081664533405	0.2404892435420706	0.03594126112950152	78	31	ext_venus_valid	mean_score
0.7371310912834592	0.5908990347617838	0.4047626293423679	0.42411426855967604	78	31	ext_venus_valid	top10_mean
0.5765271105010296	0.4706016514439551	0.377296485625804	0.37730531585522187	78	31	ext_venus_valid	top1pct_mean
0.7144097222222222	0.5668506993387239	0.4460778323243601	0.47048705969101345	156	60	both	max_score
0.5461805555555556	0.46002269430998266	0.23394669693079678	0.015218637119501083	156	60	both	mean_score
0.7473958333333333	0.5911600311488509	0.4175546763314533	0.4418099656319007	156	60	both	top10_mean
0.6210069444444445	0.499147829229431	0.38627241027059656	0.39410522656563	156	60	both	top1pct_mean
