dataset_id	file_kind	id_type	n_features	HLA_class_I	HLA_class_II	IFNG_T_cell_inflamed	TLS_CXCL13_like	checkpoint_exhaustion	myeloid_suppressive	thyroid_differentiation
GSE76039	series_matrix	probe_affy	54675	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B
GSE65144	series_matrix	probe_affy	54675	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B
GSE29265	series_matrix	probe_affy	54675	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B
GSE33630	series_matrix	probe_affy	54675	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B
GSE60542	series_matrix	probe_affy	54675	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B	needs_probe_to_symbol_mapping_at_track_B
GSE151179	series_matrix	symbol_or_other	27189	0/9	0/8	0/10	0/9	0/8	0/8	0/8
GSE126698	csvgz	symbol_or_other	57773	2/9	2/8	10/10	7/9	8/8	6/8	7/8
GSE91061	csvgz	symbol_or_other	22187	0/9	0/8	0/10	0/9	0/8	0/8	0/8
GSE193581	csvgz	ensembl	60675	0/9	0/8	0/10	0/9	0/8	0/8	0/8
