score_column	top10_hits	top10_precision	top24_hits	top24_precision	top48_hits	top48_precision	top96_hits	top96_precision	known_answer_boundary
stress_guarded_discovery_score	10	1.0	22	0.9166666666666666	46	0.9583333333333334	91	0.9479166666666666	retrospective known-label metric; not prospective wetlab validation
bma_v2_discovery_score	10	1.0	22	0.9166666666666666	45	0.9375	89	0.9270833333333334	retrospective known-label metric; not prospective wetlab validation
finetuned_experiment_priority_score	10	1.0	22	0.9166666666666666	44	0.9166666666666666	84	0.875	retrospective known-label metric; not prospective wetlab validation
finetuned_score_booster_prob	9	0.9	20	0.8333333333333334	42	0.875	83	0.8645833333333334	retrospective known-label metric; not prospective wetlab validation
impact_portfolio_score	5	0.5	15	0.625	26	0.5416666666666666	67	0.6979166666666666	retrospective known-label metric; not prospective wetlab validation
v4_claim_unlock_score	5	0.5	17	0.7083333333333334	17	0.3541666666666667	58	0.6041666666666666	retrospective known-label metric; not prospective wetlab validation
