cohort	n_total	n_with_response	n_resp	n_non	cohens_d	auc	t	p
Hugo_GSE78220	28	27	15	12	-0.21131311330669614	0.47777777777777775	-0.5403475530281496	0.5945156241609745
Riaz_GSE91061_pre	51	27	9	18	0.6413353749247835	0.691358024691358	1.581200806574508	0.13259772101168807
