source_dataset	binding_label_binary	n
IEDB_tcell_api	1	500
IEDB_tcell_full_export	0	260212
IEDB_tcell_full_export	1	137415
McPAS-TCR	1	40731
NEPdb	0	15614
NEPdb	1	298
VDJdb	1	62177
VDJdb_10x_chunk	1	20358
VDJdb_PDB_chunk	1	313
