zone	TERT+_in_zone	TERT-_in_zone	TERT+_rest	TERT-_rest	OR	p
BRAF-like	9	146	27	295	0.674	0.36
dark-matter	18	132	18	309	2.341	0.0156
WT-like	9	125	27	316	0.843	0.847
RAS-like	0	38	36	403	0.0	0.1
