method	subset	n	n_pos	AUROC	AUPRC	Brier
Wave8_TCR_SelfSim_full	ITSNdb_no_overlap	106	33	0.7353673723536738	0.5978636925675818	0.17905278156669469
Wave8_TCR_SelfSim_no_exact	ITSNdb_no_overlap	106	33	0.7320464923204648	0.6503371929643545	0.17171953890109035
Wave8_TCR_motif_only	ITSNdb_no_overlap	106	33	0.7218762972187629	0.6101101528545781	0.206932292199825
MHCflurry	ITSNdb_no_overlap	106	33	0.668327106683271	0.552953122346244	0.4701998097483527
Structure_LR	ITSNdb_no_overlap	103	32	0.653169014084507	0.4886546596772878	0.22023263912107424
Wave8_TCR_only	ITSNdb_no_overlap	106	33	0.6436280614362806	0.5454567970784542	0.2069259885088462
Stack_LR_inmaster_E3a	ITSNdb_no_overlap	106	33	0.6313823163138231	0.41437779321700263	0.31722582047608555
BigMHC_IM	ITSNdb_no_overlap	106	33	0.6259858862598588	0.38032160956071814	0.2421136464349955
Wave8_SelfSim_full	ITSNdb_no_overlap	106	33	0.6249481112494811	0.40700630745808347	0.22674217745066738
Stack_mean_E1	ITSNdb_no_overlap	106	33	0.6234952262349522	0.4606848350084154	0.26686667072506326
Stack_LR_OOF_E3b	ITSNdb_no_overlap	106	33	0.6210045662100456	0.43370304037457763	0.2092230271177471
Stack_median_E2	ITSNdb_no_overlap	106	33	0.6110419261104193	0.4082463862827109	0.28053847386457864
W7A_QK_only	ITSNdb_no_overlap	106	33	0.6089663760896638	0.43850845801605465	0.2578313109779765
Wave8_SelfSim_no_exact	ITSNdb_no_overlap	106	33	0.6087588210875882	0.4787120147504048	0.22534557133447047
TSCAPE_TITANiAN	ITSNdb_no_overlap	106	33	0.605230386052304	0.4508144607245319	0.21267838289699978
VQC	ITSNdb_no_overlap	106	33	0.597343295973433	0.4284924125231237	0.2258261973995573
GP_quantum	ITSNdb_no_overlap	106	33	0.5828144458281445	0.4394291000241095	0.21908553802093175
DeepImmuno	ITSNdb_no_overlap	106	33	0.5790784557907845	0.41315264405400587	0.39075434634596484
PRIME	ITSNdb_no_overlap	106	33	0.572436695724367	0.35699853464297626	0.3113207547169811
W7A_full	ITSNdb_no_overlap	106	33	0.5649647156496472	0.3551138398452228	0.26804969345798707
TransPHLA	ITSNdb_no_overlap	106	33	0.5550020755500208	0.3462126210337717	0.6678233462398248
W7B_stacked	ITSNdb_no_overlap	106	33	0.5512660855126609	0.34088632186777923	0.3151159121610139
NetMHCpan_4.1	ITSNdb_no_overlap	106	33	0.5502283105022832	0.3456829447347427	0.3113207547169811
MHCnuggets_2	ITSNdb_no_overlap	106	33	0.5205479452054794	0.36081668623518026	0.3113207547169811
TENT	ITSNdb_no_overlap	103	32	0.4859154929577465	0.3158346363731981	0.2895153513505961
MultiTask_full	ITSNdb_no_overlap	103	32	0.4793133802816901	0.31210892086808545	0.24460634956380203
MultiTask_AD	ITSNdb_no_overlap	103	32	0.47403169014084506	0.3262497441018574	0.24704061021481674
MultiTask_AC	ITSNdb_no_overlap	103	32	0.47271126760563387	0.30706133421559256	0.24658268758913357
MultiTask_AB	ITSNdb_no_overlap	103	32	0.46302816901408456	0.304920770225303	0.2494646062531118
NetMHCstabpan	ITSNdb_no_overlap	106	33	0.4578663345786633	0.30335315498576104	0.3113207547169811
MultiTask_A_only	ITSNdb_no_overlap	103	32	0.4480633802816902	0.315678005120548	0.25516393068728244
kNN	ITSNdb_no_overlap	106	33	0.42507264425072644	0.3214697562904275	0.2828503800431146
RF_biophys	ITSNdb_no_overlap	106	33	0.42341220423412207	0.27186515454016813	0.2702202690847327
ESM2_Bayesian	ITSNdb_no_overlap	103	32	0.4106514084507042	0.2738878834649987	0.26317033920687544
