target	class	in_depmap	spearman_lineage_dependency	p_lineage_dependency	n_models	spearman_lineage_dependency_thyroid	p_lineage_dependency_thyroid	n_thyroid_models	pan_cancer_lineage_centered_spearman	pan_cancer_lineage_centered_p	common_essential_control	median_gene_effect	artifact_risk	dependency_interpretation	q_lineage_dependency
NAMPT	NAD_salvage	True	0.026026951390390428	0.3799677643517501	1140	0.2	0.49300373504	14	-0.006506278217990715	0.8263084330585723	False	-0.31480482096329565	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.705654419510393
STAT3	JAK_STAT	True	0.048684855462095784	0.10039102580171816	1140	-0.06813186813186813	0.8169838797817922	14	0.06275275382618124	0.034129306598731965	False	-0.08892471550421546	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.3728809529778103
JAK1	JAK_STAT	True	0.03910230447197458	0.18706818783168802	1140	-0.6703296703296703	0.00870423380985887	14	0.02153398257354761	0.46761962166251375	False	-0.05736766422853515	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.5326136012383805
JAK2	JAK_STAT	True	0.007926817587983921	0.7891991135268708	1140	0.0857142857142857	0.7707850311186758	14	0.0414426581277952	0.1620137287236855	False	0.13576434605977894	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552
IL6R	JAK_STAT	True	-0.04433359423702397	0.13466203869598295	1140	0.09010989010989012	0.7593388378159543	14	-0.05482938666315485	0.06422504138016233	False	-0.08203665432255015	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.4376516257619446
OSMR	JAK_STAT	True	0.02712631074338275	0.3601636636017753	1140	-0.221978021978022	0.445629657953609	14	0.029631111838226983	0.3175121532764368	False	0.12133746225944145	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.705654419510393
DNMT1	DNMT	True	-0.06447793754680847	0.0294878113568362	1140	0.04175824175824176	0.8872869731890637	14	-0.0421571457291103	0.15489277761867143	True	-0.5945298448930038	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.15333661905554824
DNMT3B	DNMT	True	-0.01679282366491915	0.5711158407228653	1140	0.2879120879120879	0.31819287102579996	14	-0.01597129501594558	0.5900968012017692	False	-0.00091600220786915	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.7815269399365524
LYN	SRC_family	True	0.0022911196777661903	0.9384068938723404	1140	0.1032967032967033	0.725282211088945	14	-0.017091276119104413	0.5642928553919233	False	0.0547458177940175	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552
SRC	SRC_family	True	-0.004107137339246467	0.8898283809300682	1140	0.13406593406593406	0.6477195279851133	14	-0.0018440141590396408	0.9504092694151397	False	-0.0825754923085314	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552
FYN	SRC_family	True	-0.0008570254930053121	0.976940539921555	1140	-0.0945054945054945	0.7479382611415479	14	-0.02901548874130643	0.3276753569005297	False	0.0207557793092087	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552
KCNN4	ion_channel	True	0.019475140935173486	0.5112469102106509	1140	0.2571428571428571	0.3748119038799704	14	-0.007863117808943243	0.7908536544317876	False	0.00030638759020975003	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.7417581281652901
ATR	DDR	True	0.006848744153105365	0.8173231573125512	1140	0.27472527472527475	0.34182974371948144	14	0.013444102508559633	0.6502264235938799	True	-1.1006316440216903	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552
CHEK2	DDR	True	0.15269067004919454	2.2167423798818386e-07	1140	-0.01098901098901099	0.970258390096969	14	0.07242589150242695	0.014448725438694889	False	0.2050666951244391	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	5.76353018769278e-06
MYC	MYC	True	0.024383472780530966	0.4107924404967085	1140	-0.07252747252747253	0.8053763135410923	14	-0.03095290418106258	0.2963956366145206	False	-2.0774177026498784	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.7120402301942946
GLS	metabolism	True	-0.08813375267455982	0.0028988001189605896	1140	0.07252747252747253	0.8053763135410923	14	-0.0807843564408971	0.006351459057017017	False	-0.148013909291935	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.018842200773243833
LDHA	metabolism	True	0.027213325438320432	0.3586242946413272	1140	0.2087912087912088	0.473778837309814	14	0.00011311586401131531	0.9969560448433537	False	-0.1759363565516096	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.705654419510393
BCL2L1	apoptosis	True	0.10978739555330853	0.00020399712891331324	1140	0.3450549450549451	0.2269486800417004	14	0.06810805757495826	0.021462914448514354	True	-0.9848600002493879	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.0017679751172487148
MCL1	apoptosis	True	0.12552799991219965	2.1330685528006805e-05	1140	-0.27912087912087913	0.3338450771945543	14	0.10787265556882769	0.0002634102700960782	False	-0.6354995410227604	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.00027729891186408846
BCL2	apoptosis	True	-0.027973851529344215	0.34534626479468006	1140	-0.6043956043956044	0.022056861754616085	14	-0.04422123182135101	0.13565389882122	False	-0.00285783336512145	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.705654419510393
AURKA	cell_cycle	True	0.004639908966251574	0.8756465366749536	1140	-0.006593406593406593	0.9821527354577906	14	-0.00861850871577961	0.7712956785907799	False	-1.1919197597697204	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552
CDK7	transcription_cycle	True	0.0009022783181581397	0.9757233157632292	1140	-0.05054945054945055	0.8637420361792153	14	-0.003333566752163619	0.9104816740740196	False	-1.8208951876083832	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.9769405399215552
CDK9	transcription_cycle	True	-0.022167574686296963	0.45462046995905137	1140	0.01098901098901099	0.970258390096969	14	-0.03413872900364986	0.24943312990730362	True	-1.533436715833828	HIGH_common_essential_or_panlethal	negative correlation means higher lineage silencing associates with stronger dependency	0.7387582636834584
HDAC1	chromatin	True	0.037578449806035315	0.20485138509168482	1140	0.12087912087912088	0.6806070200628929	14	0.04200741533190912	0.15636505664532366	False	-0.1097537827592831	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.5326136012383805
HDAC2	chromatin	True	0.04894333195328551	0.09859692626107976	1140	0.5560439560439561	0.03894365041866055	14	0.0420156688899935	0.15628362543197064	False	0.00451402782103815	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.3728809529778103
EZH2	chromatin	True	0.019370258380510166	0.5135248579605854	1140	-0.23956043956043957	0.4094298928517327	14	0.0003248248936577841	0.9912590947148132	False	-0.012206575440337299	moderate_or_low	negative correlation means higher lineage silencing associates with stronger dependency	0.7417581281652901
