ModelID	RAI_8_score	THYROID_NONOVERLAP_score	TDS_like_score	TF_collapse_score	STAT3_AP1_DNMT_score	DM1_like_score	PatientID	CellLineName	StrippedCellLineName	DepmapModelType	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	OncotreeCode	PatientSubtypeFeatures	RRID	Age	AgeCategory	Sex	PatientRace	PrimaryOrMetastasis	SampleCollectionSite	SourceType	SourceDetail	CatalogNumber	ModelType	TissueOrigin	ModelDerivationMaterial	ModelTreatment	PatientTreatmentStatus	PatientTreatmentType	PatientTreatmentDetails	Stage	StagingSystem	PatientTumorGrade	PatientTreatmentResponse	GrowthPattern	OnboardedMedia	FormulationID	SerumFreeMedia	PlateCoating	EngineeredModel	EngineeredModelDetails	CulturedResistanceDrug	PublicComments	CCLEName	HCMIID	PediatricModelType	ModelAvailableInDbgap	ModelSubtypeFeatures	WTSIMasterCellID	SangerModelID	COSMICID	ModelIDAlias	is_thyroid	is_thyroid_model	cancer_type	lineage_silenced_score
ACH-000001	1.1109036669717154	0.33493600734757895	0.9936934591827158	1.3424306886978539	-0.007375538433910795	-1.1109036669717154	PT-gj46wT	NIH:OVCAR-3	NIHOVCAR3	HGSOC	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer	HGSOC		CVCL_0465	60.0	Adult	Female	caucasian	Metastatic	ascites	ATCC		HTB-161	Cell Line											Adherent	MF-001-041	RPMI + 20% FBS + 0.01 mg/ml insulin	False						NIHOVCAR3_OVARY		False	Approved for public sharing - CCLE		2201.0	SIDM00105	905933.0		False	False	Ovary/Fallopian Tube	-2.5471071612979155
ACH-000002	-0.3747742119787461	-0.38621333030791416	-0.4807738619464129	-0.06182354782656174	-0.7163133060100078	0.3747742119787461	PT-5qa3uk	HL-60	HL60	AMLMRC	Myeloid	Acute Myeloid Leukemia	AML with Myelodysplasia-Related Changes	AMLMRC	TP53(del), CDKN2A and NRAS mutations [PubMed=288488], No PML-RARA fusion	CVCL_0002	36.0	Adult	Female	caucasian	Primary	haematopoietic_and_lymphoid_tissue	ATCC		CCL-240	Cell Line											Suspension	MF-005-001	IMDM + 10% FBS	False						HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		True	Approved for public sharing - CCLE	NRAS, BCOR and CDKN2A	55.0	SIDM00829	905938.0		False	False	Myeloid	0.8592915007680427
ACH-000003	1.2666947710718655	1.1384892860889562	0.2960060867673594	0.14736750579367883	0.2231698372337724	-1.2666947710718655	PT-puKIyc	CACO2	CACO2	COAD	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	COAD		CVCL_0025	72.0	Adult	Male	caucasian	Primary	Colon	ATCC		HTB-37	Cell Line				Unknown							Adherent	MF-015-009	EMEM + 20% FBS	False						CACO2_LARGE_INTESTINE		False	Approved for public sharing - CCLE			SIDM00891			False	False	Bowel	-2.9043088239782717
ACH-000004	-0.073210994393265	-0.3473683936658064	-0.3557357719142384	0.32775822230021157	0.5065669079144494	0.073210994393265	PT-q4K2cp	HEL	HEL	AMLNOS	Myeloid	Acute Myeloid Leukemia	AML, NOS	AMLNOS	JAK2 and TP53 mutations	CVCL_0001	30.0	Adult	Male	caucasian	Primary	haematopoietic_and_lymphoid_tissue	DSMZ		ACC 11	Cell Line				Post-treatment							Suspension	MF-001-001	RPMI + 10% FBS	False						HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		True	Approved for public sharing - CCLE	JAK2 and TP53	783.0	SIDM00594	907053.0		False	False	Myeloid	0.16785996270329598
ACH-000005	-0.1934806576849511	-0.28720813541166157	-0.3653224170862968	0.26108866757383753	0.8410634504840637	0.1934806576849511	PT-q4K2cp	HEL 92.1.7	HEL9217	AML	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML	JAK2 and TP53 mutations	CVCL_2481	30.0	Adult	Male	caucasian		bone_marrow	ATCC		HEL9217	Cell Line											Mixed	MF-001-001	RPMI + 10% FBS	False						HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		True	Approved for public sharing - CCLE			SIDM00593			False	False	Myeloid	0.44361719509430436
ACH-000006	-0.1115324911367049	-0.17986334125704714	-0.2544759459749887	-0.08032224855556092	0.31891739952260717	0.1115324911367049	PT-ej13Dz	MONO-MAC-6	MONOMAC6	AML	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML	KMT2A-MLLT3, TP53 Arg273His	CVCL_1426	64.0	Adult	Male		Primary	haematopoietic_and_lymphoid_tissue	DSMZ		ACC 124	Cell Line											Suspension	MF-001-001	RPMI + 10% FBS	False						MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		True	Approved for public sharing - CCLE	KMT2A::MLLT3, TP53, ASXL1 and U2AF1	2167.0	SIDM01023	908148.0		False	False	Myeloid	0.2557244298833793
ACH-000007	-0.024881202037490398	0.210647652336781	0.019398053496874894	-0.08394446393460595	0.06872428267641939	0.024881202037490398	PT-NOXwpH	LS513	LS513	COAD	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	COAD		CVCL_1386	63.0	Adult	Male	caucasian	Primary	large_intestine	ATCC		CRL-2134	Cell Line											Adherent	MF-001-001	RPMI + 10% FBS	False						LS513_LARGE_INTESTINE		False	Approved for public sharing - CCLE		569.0	SIDM00677	907795.0	ACH-001078	False	False	Bowel	0.057048229991130024
ACH-000008	-0.311587652827876	-0.02719385829081867	-0.26690644214762727	0.12180492106031471	0.14633160147130525	0.311587652827876	PT-fp8PeY	A101D	A101D	MEL	Skin	Melanoma	Melanoma	MEL		CVCL_1057	56.0	Adult	Male	caucasian	Primary	skin	ATCC		CRL-7898	Cell Line											Adherent	MF-002-001	DMEM + 10% FBS	False						A101D_SKIN		False	Approved for public sharing - CCLE		1806.0	SIDM00801	910921.0		False	False	Skin	0.7144158089362924
ACH-000009	0.286176962562405	0.5759258292658916	0.15218139470861186	-0.008982258098059775	0.42035589392550915	-0.286176962562405	PT-puKIyc	C2BBe1	C2BBE1	COAD	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	COAD		CVCL_1096	72.0	Adult	Male	caucasian	Primary	Colon	ATCC		CRL-2102	Cell Line											Adherent	MF-002-021	DMEM + 10% FBS + 0.01 mg/ml Transferrin	False						C2BBE1_LARGE_INTESTINE		False	Approved for public sharing - CCLE		2104.0	SIDM01233	910700.0		False	False	Bowel	-0.6561535553557105
ACH-000011	-0.15122471479648772	-0.219549111705238	0.16550819468176947	0.2961965180301391	0.24590665838355366	0.15122471479648772	PT-AR7W9o	253J	253J	BLCA	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma	BLCA		CVCL_7935	53.0	Adult	Male		Metastatic	lymph_node	KCLB		80001	Cell Line											Adherent	MF-002-001	DMEM + 10% FBS	False						253J_URINARY_TRACT		False	Approved for public sharing - CCLE						False	False	Bladder/Urinary Tract	0.34673173334045354
