source	target	drug_id	drug_label	spearman_lineage_sensitivity_metric	p_lineage_sensitivity	n_models	spearman_lineage_sensitivity_thyroid	p_lineage_sensitivity_thyroid	n_thyroid_models	metric_direction	notes
GDSC1_AUC	JAK1	DPC-005700	RUXOLITINIB DPC-005700	-0.03053054615593559	0.43220856797623525	664	0.5486526200010714	0.06471429740439955	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization
GDSC1_AUC	JAK1	DPC-006431	FEDRATINIB DPC-006431	-0.08041120362475244	0.03816593456510553	665	0.23076923076923078	0.470531995381542	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization
GDSC1_AUC	JAK1	DPC-007445	JAK1_3715 DPC-007445	-0.005659750630792823	0.8843493703314019	663	0.27762402420220994	0.3823021346740217	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization
GDSC1_AUC	JAK1	DPC-007447	JAK3_7406 DPC-007447	-0.007759931875195177	0.8418046081141016	664	-0.7181818181818183	0.012799598068858454	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization
GDSC1_AUC	JAK2	DPC-005700	RUXOLITINIB DPC-005700	-0.03053054615593559	0.43220856797623525	664	0.5486526200010714	0.06471429740439955	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization
GDSC1_AUC	JAK2	DPC-006431	FEDRATINIB DPC-006431	-0.08041120362475244	0.03816593456510553	665	0.23076923076923078	0.470531995381542	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization
GDSC1_AUC	JAK2	DPC-007445	JAK1_3715 DPC-007445	-0.005659750630792823	0.8843493703314019	663	0.27762402420220994	0.3823021346740217	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization
GDSC1_AUC	JAK2	DPC-007447	JAK3_7406 DPC-007447	-0.007759931875195177	0.8418046081141016	664	-0.7181818181818183	0.012799598068858454	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization
GDSC1_AUC	OSMR	DPC-007445	JAK1_3715 DPC-007445	-0.005659750630792823	0.8843493703314019	663	0.27762402420220994	0.3823021346740217	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization
GDSC1_AUC	OSMR	DPC-007447	JAK3_7406 DPC-007447	-0.007759931875195177	0.8418046081141016	664	-0.7181818181818183	0.012799598068858454	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization
