method_name	method_family	method_role	uses_public_pretraining	training_overlap_audited	clean_comparator_allowed	mean_AUPRC	mean_top10_precision	mean_ECE	source_collapse_rate	utility_score	posterior_alpha	public_overlap_penalty	bounded_fallback_penalty	uncertainty_only_penalty	calibration_penalty	abstention_penalty	posterior_weight_global
Structure_LR	structure_proxy	anchor	False	True	True	0.6623858274802117	0.7899999999999999	0.1573594162403874	0.0	0.8087866417968184	7.470293134374547	0.0	0.0	0.0	0.0573594162403874	0.06566127175244799	0.01708828815019118
source_balanced_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.8018477297085784	0.7886734693877551	0.1185004547209218	0.5	0.7154761639668954	6.723809311735163	0.0	0.0	0.0	0.018500454720921794	0.09161786237915384	0.015380707144832678
source_balanced_plus_pu_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.7835661250612553	0.7801020408163266	0.1274281647560251	0.5	0.6905140313291454	6.524112250633163	0.0	0.0	0.0	0.02742816475602508	0.09161786237915384	0.014923900315237893
pu_weighted_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	True	True	0.7856412585510668	0.7786734693877552	0.1299403753005572	0.5	0.6883002471536757	6.506401977229405	0.0	0.0	0.0	0.02994037530055718	0.09161786237915384	0.014883388082357837
anchor_lr	internal_baseline	anchor	False	True	True	0.526168165769229	0.6032679738562092	0.1775082996033321	0.0	0.6823254143640347	6.458603314912278	0.0	0.0	0.0	0.07750829960333208	0.0	0.014774048689622326
W7B_stacked	ensemble_or_fusion	internal_candidate	False	True	True	0.6905238146782089	0.8083333333333333	0.2251069620054684	0.0	0.6237485944447576	5.989988755558061	0.0	0.0	0.0	0.1251069620054684	0.0730811495825032	0.013702093348971536
W7A_full	classical_biophysical	internal_candidate	False	True	True	0.7105353164970405	0.8177083333333334	0.2583388533028453	0.0	0.6194649560155808	5.955719648124647	0.0	0.0	0.0	0.15833885330284528	0.0730811495825032	0.01362370279963989
Wave8_TCR_SelfSim_no_exact	tcr_aware	internal_candidate	False	True	True	0.5640159289183905	0.821875	0.1485123384602096	0.0	0.6070509355675456	5.856407484540365	0.0	0.0	0.0	0.04851233846020958	0.06786163420960505	0.01339652632374793
Stack_mean_E1	ensemble_or_fusion	internal_candidate	False	True	True	0.6547226088365166	0.7927083333333333	0.2193157684849198	0.0	0.6031887790475666	5.825510232380533	0.0	0.0	0.0	0.11931576848491979	0.0730811495825032	0.013325848890016872
RF_biophys	internal_baseline	internal_candidate	False	True	True	0.5706072727927642	0.7770833333333333	0.2498321400557297	0.0	0.5891051248154683	5.712840998523746	0.0	0.0	0.0	0.1498321400557297	0.0730811495825032	0.013068118129098446
Stack_LR_inmaster_E3a	ensemble_or_fusion	internal_candidate	False	True	True	0.6557758318401355	0.7958333333333333	0.2344317982906944	0.0	0.5867650415428808	5.694120332343046	0.0	0.0	0.0	0.1344317982906944	0.0730811495825032	0.0130252946237413
v0_C_counterfactual_RF	internal_baseline	internal_candidate	False	True	True	0.4387272197550305	0.5032679738562091	0.1708675757249617	0.0	0.5820808964892761	5.656647171914209	0.0	0.0	0.0	0.07086757572496169	0.0	0.01293957480635425
kNN	classical_biophysical	internal_candidate	False	True	True	0.61054647575326	0.7958333333333333	0.2317392558323434	0.0	0.5819538917190391	5.655631133752313	0.0	0.0	0.0	0.1317392558323434	0.0730811495825032	0.012937250620064669
hard_decoy_sequence_only_source_stress	classical_biophysical	internal_candidate	False	True	True	0.6815679940633383	0.7286734693877551	0.2342326116775485	0.0	0.5816241395188945	5.652993116151156	0.0	0.0	0.0	0.1342326116775485	0.09161786237915384	0.012931216157413342
Stack_median_E2	ensemble_or_fusion	internal_candidate	False	True	True	0.6129595859237941	0.7770833333333333	0.212227512713173	0.0	0.5804891117677747	5.643912894142198	0.0	0.0	0.0	0.112227512713173	0.0730811495825032	0.012910445158556176
Wave8_TCR_motif_only	tcr_aware	internal_candidate	False	True	True	0.5201255818036871	0.78125	0.1381521783210339	0.0	0.5784586125234403	5.627668900187523	0.0	0.0	0.0	0.0381521783210339	0.06786163420960505	0.012873287038464454
elastic_net_lr	classical_biophysical	internal_candidate	False	True	True	0.4827540835334972	0.538562091503268	0.1740714295493914	0.0	0.5575329274426096	5.460263419540877	0.0	0.0	0.0	0.07407142954939139	0.0	0.01249034716719652
ESMFold_3D_CV_score	structure_proxy	internal_candidate	False	True	True	0.5028430277971025	0.4326797385620915	0.2231688809614381	0.0	0.5550711311915889	5.440569049532711	0.0	0.0	0.0	0.1231688809614381	0.0	0.012445296315297895
MultiTask_A_only	classical_biophysical	internal_candidate	False	True	True	0.5977420282156533	0.7955555555555556	0.2551142092116616	0.0	0.5477128011966252	5.381702409573002	0.0	0.0	0.0	0.1551142092116616	0.07123909413197464	0.012310638934660945
mean_pLDDT_peptide	structure_proxy	internal_candidate	False	True	True	0.399944586155548	0.4209150326797385	0.1736954738324421	0.0	0.5466421859286203	5.373137487428963	0.0	0.0	0.0	0.0736954738324421	0.0	0.012291046683734697
Wave8_SelfSim_no_exact	tcr_aware	internal_candidate	False	True	True	0.5251991143609056	0.7708333333333334	0.1606261249407685	0.0	0.5458742847256695	5.366994277805356	0.0	0.0	0.0	0.060626124940768494	0.0730811495825032	0.012276994097801733
Wave8_TCR_SelfSim_full	tcr_aware	internal_candidate	False	True	True	0.4843528280615256	0.79375	0.154846368922506	0.0	0.5404964764815336	5.323971811852269	0.0	0.0	0.0	0.054846368922505995	0.06786163420960505	0.012178580249521108
MultiTask_AD	classical_biophysical	internal_candidate	False	True	True	0.5797043746351314	0.7688888888888888	0.2566161871378952	0.0	0.5256604157985547	5.205283326388438	0.0	0.0	0.0	0.15661618713789519	0.07123909413197464	0.011907080456509902
sourceheld_counterfactual_rf	internal_baseline	internal_candidate	False	True	True	0.6960135224342753	0.7601020408163265	0.2653308668472999	0.5	0.523948175190888	5.191585401527104	0.0	0.0	0.0	0.1653308668472999	0.09161786237915384	0.011875746466948896
MultiTask_AC	classical_biophysical	internal_candidate	False	True	True	0.5871865189717569	0.7755555555555556	0.2640872360557301	0.0	0.5236007532525275	5.18880602602022	0.0	0.0	0.0	0.16408723605573008	0.07123909413197464	0.011869388648228146
MultiTask_full	classical_biophysical	internal_candidate	False	True	True	0.5772751480756398	0.7722222222222223	0.273669372896072	0.0	0.5048238057551913	5.03859044604153	0.0	0.0	0.0	0.173669372896072	0.07123909413197464	0.011525770657722227
Wave8_TCR_only	tcr_aware	internal_candidate	False	True	True	0.4996462215008605	0.7739583333333333	0.1837537186360169	0.0	0.5033408787181434	5.026727029745147	0.0	0.0	0.0	0.08375371863601688	0.0730811495825032	0.011498633104687605
Wave8_SelfSim_full	tcr_aware	internal_candidate	False	True	True	0.4793055304135335	0.7552083333333334	0.171742431488504	0.0	0.49876819482101603	4.990145558568129	0.0	0.0	0.0	0.07174243148850398	0.0730811495825032	0.011414953025581426
anchor_rf	internal_baseline	anchor	False	True	True	0.6145059707030316	0.7098214285714285	0.2820268271796063	0.3333333333333333	0.49580188079708337	4.966415046376667	0.0	0.0	0.0	0.1820268271796063	0.08543224747088764	0.011360669502433808
min_pLDDT_peptide	structure_proxy	internal_candidate	False	True	True	0.4473491882785721	0.4209150326797385	0.2436600994398386	0.0	0.49207548851601957	4.9366039081281565	0.0	0.0	0.0	0.1436600994398386	0.0	0.011292476553199777
interface_contacts_8A	classical_biophysical	internal_candidate	False	True	True	0.4369328429240434	0.4091503267973856	0.1689069238730183	0.0	0.491321165076396	4.930569320611168	0.0	0.0	0.0	0.0689069238730183	0.0	0.01127867244022818
anchor_rf_retrained_cf	internal_baseline	anchor	False	True	True	0.6338654497872817	0.7443877551020408	0.2757104258121499	0.5	0.4876180422490748	4.900944337992598	0.0	0.0	0.0	0.17571042581214988	0.09161786237915384	0.011210905321813368
MultiTask_AB	classical_biophysical	internal_candidate	False	True	True	0.5835678346621742	0.7555555555555556	0.2875542267151386	0.0	0.48639678018929594	4.891174241514367	0.0	0.0	0.0	0.18755422671513858	0.07123909413197464	0.011188556235790632
v0_Structure_baseline_RF	structure_proxy	internal_candidate	False	True	True	0.3203193848902968	0.3973856209150326	0.1818965212993526	0.0	0.47943330418387203	4.835466433470977	0.0	0.0	0.0	0.0818965212993526	0.0	0.011061124680035398
decoy_focal_positive_pattern	classical_biophysical	internal_candidate	False	True	True	0.6449232670520787	0.6875992063492063	0.2667324431132048	0.16666666666666666	0.4787916431909522	4.830333145527618	0.0	0.0	0.0	0.16673244311320481	0.08543224747088764	0.011049382288946301
TENT	classical_biophysical	internal_candidate	False	True	True	0.5351319324833842	0.7355555555555555	0.2684674147295188	0.0	0.47247069522118984	4.779765561769519	0.0	0.0	0.0	0.1684674147295188	0.07123909413197464	0.010933708991155469
W7A_QK_only	qk_fallback	bounded_fallback	False	True	True	0.7185594821534456	0.8020833333333334	0.2501888880379391	0.0	0.4609073970404396	4.687259176323517	0.0	0.1	0.0	0.1501888880379391	0.0730811495825032	0.01072210072601792
rule_gated_C_QK_structure	qk_fallback	bounded_fallback	False	True	True	0.5519147906953146	0.5915032679738562	0.1698331693661433	0.0	0.4554984781028342	4.643987824822673	0.0	0.1	0.0	0.06983316936614328	0.0	0.010623117552293167
rf_secondary	classical_biophysical	internal_candidate	False	True	True	0.3299086677543026	0.4091503267973856	0.1463743270122142	0.0	0.4520052927041217	4.616042341632974	0.0	0.0	0.0	0.046374327012214195	0.0	0.010559192287159394
xgboost_depth2	classical_biophysical	internal_candidate	False	True	True	0.3529231868786339	0.3915032679738562	0.1553768617232364	0.0	0.4494712529079805	4.595770023263844	0.0	0.0	0.0	0.05537686172323639	0.0	0.010512819378957162
prespecified_equal_weight_C_QK_no_anchor	qk_fallback	bounded_fallback	False	True	True	0.5481642876965633	0.5973856209150327	0.1758674802404224	0.0	0.4479319931944735	4.583455945555788	0.0	0.1	0.0	0.07586748024042239	0.0	0.010484650938389439
calibrated_linear_svm	classical_biophysical	internal_candidate	False	True	True	0.3455865953043199	0.4326797385620915	0.1650398574189478	0.0	0.4473269712970521	4.578615770376417	0.0	0.0	0.0	0.0650398574189478	0.0	0.010473579042457819
D_positive_class_reweighting	classical_biophysical	internal_candidate	False	True	True	0.6611072491150088	0.7429591836734695	0.2171551280337486	0.75	0.4442886008806328	4.554308807045063	0.0	0.0	0.0	0.11715512803374858	0.09161786237915384	0.010417976887898311
stacked_calibrated_meta_model_lowdim_only	ensemble_or_fusion	internal_candidate	False	True	True	0.366920003365823	0.4738562091503268	0.1766270143297533	0.0	0.44064909600221747	4.52519276801774	0.0	0.0	0.0	0.0766270143297533	0.0	0.010351373977444683
source_balanced_rf	classical_biophysical	internal_candidate	False	True	True	0.6050674042912851	0.7129591836734694	0.2664328190782101	0.25	0.4402106678365703	4.521685342692562	0.0	0.0	0.0	0.1664328190782101	0.09161786237915384	0.010343350745485267
E_pu_style_conservative_ranker	classical_biophysical	internal_candidate	False	True	True	0.6140849306469575	0.7343877551020408	0.2791739561937449	0.25	0.4377978839241597	4.502383071393277	0.0	0.0	0.0	0.1791739561937449	0.09161786237915384	0.010299196818995077
VQC	qk_fallback	bounded_fallback	False	True	True	0.5579112980450861	0.7833333333333333	0.1895985849127108	0.0	0.42763888664353056	4.4211110931482445	0.0	0.1	0.0	0.0895985849127108	0.0730811495825032	0.010113287249209036
Stack_LR_OOF_E3b	ensemble_or_fusion	internal_candidate	False	True	True	0.5346310665904996	0.4823529411764705	0.2825917058064106	0.0	0.4203612143184169	4.362889714547335	0.0	0.0	0.0	0.18259170580641057	0.0	0.00998010590329161
