method_name	method_role	method_family	method_disposition	n_matched_anchor_splits	n_wins_vs_anchor	n_losses_vs_anchor	n_ties_vs_anchor	win_rate_vs_anchor	median_delta_AUPRC_vs_anchor	median_delta_top10_precision_vs_anchor	median_delta_ECE_vs_anchor	source_heldout_median_delta_AUPRC	hla_heldout_median_delta_AUPRC	low_prevalence_median_delta_AUPRC	mean_AUPRC	mean_top10_precision	reviewer_safe_score
W7B_stacked	internal_candidate	ensemble_or_fusion	clean_internal_candidate	29	16	13	0	0.5517241379310345	0.09467384467384454	0.0	-0.017343879698261108	0.1728167702766632	0.09467384467384454	0.1728167702766632	0.6905238146782089	0.8083333333333333	0.8496797851443287
W7A_QK_only	bounded_fallback	qk_fallback	bounded_fallback_not_headline	29	21	3	5	0.7241379310344828	0.08829296075285376	0.0	0.049316766362787395	0.08829296075285376	0.09043109668109672	0.08829296075285376	0.7185594821534456	0.8020833333333334	0.8539572600163183
source_balanced_plus_pu_rf_train_prior_calibrated	internal_candidate	classical_biophysical	clean_internal_candidate	23	12	11	0	0.5217391304347826	0.06890852174531914	0.0	-0.09542828246577331	-0.3255866448324813	0.06978657914313902	-0.7714900312167059	0.7835661250612553	0.7801020408163266	0.9468437167489182
W7A_full	internal_candidate	classical_biophysical	clean_internal_candidate	29	17	7	5	0.5862068965517241	0.06425056425056408	0.0	0.061472122563081016	0.13851971812246844	0.06425056425056408	0.13851971812246844	0.7105353164970405	0.8177083333333334	0.8682430978334227
pu_weighted_rf_train_prior_calibrated	internal_candidate	classical_biophysical	clean_internal_candidate	23	12	11	0	0.5217391304347826	0.05707958895650489	0.0	-0.0924756410887462	-0.3114075840528075	0.06295243278591434	-0.7759109371718592	0.7856412585510668	0.7786734693877552	0.9483819148985622
source_balanced_rf_train_prior_calibrated	internal_candidate	classical_biophysical	clean_internal_candidate	23	12	11	0	0.5217391304347826	0.05662699305586183	0.0	-0.09354025523703051	-0.3044377035425872	0.07988369417470698	-0.7681645308211812	0.8018477297085784	0.7886734693877551	0.9677323781140372
MHCflurry	caveated_public_comparator	deep_immunogenicity	caveated_public_not_clean_claim	30	15	12	3	0.5	0.014630575376938959	0.0	-0.013976047291339253	0.03626737204581343	-0.0070062212919355105	0.11996684242673561	0.600867866897983	0.81875	0.6690284940705679
Stack_mean_E1	internal_candidate	ensemble_or_fusion	clean_internal_candidate	29	14	9	6	0.4827586206896552	0.0013723525149010873	0.0	0.03384473817881069	0.08013052264020282	0.0	0.11831769792044822	0.6547226088365166	0.7927083333333333	0.8113326986546913
BigMHC_IM	caveated_public_comparator	deep_immunogenicity	caveated_public_not_clean_claim	30	14	14	2	0.4666666666666667	0.0	0.0	0.0324030024826589	0.10748938932428265	0.033553219267504986	0.10748938932428265	0.6217138229550467	0.771875	0.6757530156388027
Stack_LR_inmaster_E3a	internal_candidate	ensemble_or_fusion	clean_internal_candidate	29	14	12	3	0.4827586206896552	0.0	0.0	0.06002505530889829	0.13872586118575425	0.0	0.13872586118575425	0.6557758318401355	0.7958333333333333	0.8114993186777328
VQC	bounded_fallback	qk_fallback	bounded_fallback_not_headline	29	10	14	5	0.3448275862068966	-0.007204372941180592	0.0	0.018932476729736594	0.030222459825210102	-0.10162596906017957	0.030222459825210102	0.5579112980450861	0.7833333333333333	0.6956181062204816
Stack_median_E2	internal_candidate	ensemble_or_fusion	clean_internal_candidate	29	10	15	4	0.3448275862068966	-0.0159156050611165	0.0	0.036199126275886506	0.007458747426467127	0.006506192220477991	0.13872586118575425	0.6129595859237941	0.7770833333333333	0.7671535013191434
kNN	internal_candidate	classical_biophysical	clean_internal_candidate	29	13	16	0	0.4482758620689655	-0.016789738613574745	0.0	0.023863288971905407	0.1728167702766632	-0.054969336219336196	0.1728167702766632	0.61054647575326	0.7958333333333333	0.7665392168366923
DeepImmuno	caveated_public_comparator	deep_immunogenicity	caveated_public_not_clean_claim	29	11	15	3	0.3793103448275862	-0.02192067105688489	0.0	0.07787295952612391	0.07669548350095778	-0.151984126984127	0.13872586118575425	0.5550511054984465	0.7802083333333333	0.6052822697891685
MultiTask_A_only	internal_candidate	classical_biophysical	clean_internal_candidate	29	12	15	2	0.41379310344827586	-0.02346095487624128	0.0	0.07208226695950878	0.09622946868936177	-0.13416213416213418	0.09622946868936177	0.5977420282156533	0.7955555555555556	0.7513417184055982
rule_gated_C_QK_structure	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	7	12	2	0.3333333333333333	-0.03792779405136404	0.0	-0.0252487994988563	-0.08957496053999175	-0.04085292359421677	-0.24126690877776524	0.5519147906953146	0.5915032679738562	0.6532321273534715
MultiTask_AC	internal_candidate	classical_biophysical	clean_internal_candidate	29	14	15	0	0.4827586206896552	-0.04896396207501896	0.0	0.12278741870722229	0.10734057980047285	-0.12208100541433886	0.10734057980047285	0.5871865189717569	0.7755555555555556	0.735888906477295
prespecified_equal_weight_C_QK_no_anchor	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	6	12	3	0.2857142857142857	-0.050899977289908804	0.0	-0.0033301307729281804	-0.10155553399064249	-0.043851867330245264	-0.221148694711522	0.5481642876965633	0.5973856209150327	0.6500546638555277
prespecified_lr_qk_quantum_only_w0.5	bounded_fallback	qk_fallback	bounded_fallback_not_headline	21	2	14	5	0.09523809523809523	-0.052331954069558706	0.0	0.0011627528338832988	-0.02717533519624893	-0.012796954507480751	-0.052331954069558706	0.5698246252535977	0.6209150326797386	0.6718092888851057
MultiTask_AB	internal_candidate	classical_biophysical	clean_internal_candidate	29	12	17	0	0.41379310344827586	-0.055746848181058684	0.0	0.12403906345821389	0.10734057980047285	-0.15716999050332392	0.10734057980047285	0.5835678346621742	0.7555555555555556	0.7259235231017716
MultiTask_AD	internal_candidate	classical_biophysical	clean_internal_candidate	29	10	17	2	0.3448275862068966	-0.05749462178033604	0.0	0.0695174045212811	0.08749930995920296	-0.15716999050332392	0.08749930995920296	0.5797043746351314	0.7688888888888888	0.7278205336991197
Wave8_TCR_SelfSim_full	internal_candidate	tcr_aware	clean_internal_candidate	30	5	24	1	0.16666666666666666	-0.05793505060432358	0.0	0.00526335319855141	-0.05398420652431357	-0.304945054945055	-0.05398420652431357	0.4843528280615256	0.79375	0.647618191169275
Wave8_TCR_SelfSim_no_exact	internal_candidate	tcr_aware	clean_internal_candidate	30	12	18	0	0.4	-0.06068586350109739	0.0	-0.005266478395225205	-0.04872401643788005	-0.19588401016972445	0.1583728808327738	0.5640159289183905	0.821875	0.7335396950723696
GP_quantum	bounded_fallback	qk_fallback	bounded_fallback_not_headline	29	6	20	3	0.20689655172413793	-0.06195441092308929	0.0	0.0626239997203474	-0.06195441092308929	0.0	-0.06195441092308929	0.5946414016568287	0.7677083333333333	0.7242393697357615
sourceheld_counterfactual_rf	internal_candidate	internal_baseline	clean_internal_candidate	23	8	13	2	0.34782608695652173	-0.06819204173832788	0.0	0.024032554006293214	-0.3040196270341281	-0.0039312854726158974	-0.7740333278534717	0.6960135224342753	0.7601020408163265	0.8415008439128107
Wave8_TCR_motif_only	internal_candidate	tcr_aware	clean_internal_candidate	30	10	19	1	0.3333333333333333	-0.07268525489074279	0.0	-0.02943126811055031	0.024756632342281648	-0.24420702754036094	0.07158721279710589	0.5201255818036871	0.78125	0.6825603639715837
TSCAPE_TITANiAN	caveated_public_comparator	deep_immunogenicity	caveated_public_not_clean_claim	29	10	19	0	0.3448275862068966	-0.07353630211828222	0.0	0.012004866608974207	-0.03585823421769435	-0.07553851484772539	0.13872586118575425	0.5597997370914287	0.7614583333333333	0.6114104698389022
MHCnuggets_2	caveated_public_comparator	deep_immunogenicity	caveated_public_not_clean_claim	29	9	18	2	0.3103448275862069	-0.07404651515247146	0.0	-0.02055624982306742	0.004360868984094157	-0.14797528860028858	0.08158300404289709	0.5800491446642597	0.7895833333333333	0.6394232313486411
MultiTask_full	internal_candidate	classical_biophysical	clean_internal_candidate	29	12	15	2	0.41379310344827586	-0.07616781748094409	0.0	0.06388731670043693	0.10734057980047285	-0.15268065268065278	0.10734057980047285	0.5772751480756398	0.7722222222222223	0.7243526552304771
