slice	n	n_pos	precision	recall_of_all_positives	mean_score	mean_confidence	n_high_leakage	mean_public_weight_fraction	mean_fallback_weight_fraction	claim_boundary
top_1_global	1	1	1.0	0.0008481764206955047	0.5517017744865137	0.9408097015474052	0	0.0078392193430863	0.0213755058851615	benchmark-label audit, not external validation
top_3_global	3	3	1.0	0.002544529262086514	0.5350001956620134	0.9387069383939298	0	0.0078392193430863	0.0213755058851615	benchmark-label audit, not external validation
top_4_global	4	4	1.0	0.0033927056827820186	0.5267927232716524	0.9395449094014663	0	0.0078392193430863	0.0213755058851615	benchmark-label audit, not external validation
top_5_global	5	5	1.0	0.004240882103477523	0.5184772606266674	0.9325597557398716	0	0.00782162545671986	0.02132753194731012	benchmark-label audit, not external validation
top_10_global	10	9	0.9	0.007633587786259542	0.4937694844063561	0.9089874412006445	0	0.007950990501642871	0.033767786884146986	benchmark-label audit, not external validation
top_20_global	20	16	0.8	0.013570822731128074	0.46316156737451186	0.8231896579878605	4	0.006186966011731085	0.04343742354619911	benchmark-label audit, not external validation
top_50_global	50	44	0.88	0.037319762510602206	0.42849314784854764	0.6657146265622029	34	0.002474786404692434	0.029205128729911288	benchmark-label audit, not external validation
top_100_global	100	87	0.87	0.0737913486005089	0.4117212634374944	0.6198860176713366	81	0.0014324632966173443	0.026612216992254117	benchmark-label audit, not external validation
claim_safe_candidate_after_manual_audit	4	4	1.0	0.0033927056827820186	0.522553999258192	0.9301849890688204	0	0.00781722698512825	0.021315538462847273	benchmark-label audit, not external validation
priority_review_candidate	761	715	0.9395532194480947	0.6064461407972859	0.3608856000820106	0.48908676493701736	761	4.7615373435633244e-05	0.01939715316720185	benchmark-label audit, not external validation
support_review_candidate	171	156	0.9122807017543859	0.13231552162849872	0.3391470092706298	0.5200632130665784	169	0.0005262816410705159	0.0224754996867097	benchmark-label audit, not external validation
