candidate_id	barneo_score	patient_gated_score	barneo_rank_global	barneo_rank_within_patient	confidence_score	confidence_bin	abstain	abstention_reason_primary	abstention_reason_all	disease_gate	presentation_gate	antigen_gate	immune_context_gate	model_confidence_gate
CNV0_02497	0.8434105008283881	0.43182617642413484	1	NA	0.7138757754556135	high	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; HLA allele underrepresented in benchmark; Low confidence due to sparse method coverage	0.8	1.0	0.8	0.8	1.0
CNV0_02492	0.8425234599222968	0.4313720114802161	2	NA	0.9133879029572634	high	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; Low confidence due to sparse method coverage	0.8	1.0	0.8	0.8	1.0
CNV0_02525	0.842471990927469	0.4313456593548643	3	NA	0.9133595950101081	high	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; Low confidence due to sparse method coverage	0.8	1.0	0.8	0.8	1.0
CNV0_02495	0.8408519784406726	0.43051621296162446	4	NA	0.71246858814237	high	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; HLA allele underrepresented in benchmark; Low confidence due to sparse method coverage	0.8	1.0	0.8	0.8	1.0
CNV0_02498	0.8408519784406726	0.43051621296162446	5	NA	0.91246858814237	high	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; Low confidence due to sparse method coverage	0.8	1.0	0.8	0.8	1.0
CNV0_02499	0.8408519784406726	0.43051621296162446	6	NA	0.71246858814237	high	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; HLA allele underrepresented in benchmark; Low confidence due to sparse method coverage	0.8	1.0	0.8	0.8	1.0
CNV0_02465	0.8405442057788081	0.43035863335874985	7	NA	0.7122993131783445	high	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; HLA allele underrepresented in benchmark; Low confidence due to sparse method coverage	0.8	1.0	0.8	0.8	1.0
CNV0_02464	0.8400140305684924	0.43008718365106824	8	NA	0.7120077168126708	high	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; HLA allele underrepresented in benchmark; Low confidence due to sparse method coverage	0.8	1.0	0.8	0.8	1.0
CNV0_02502	0.8392522751660225	0.42969716488500354	9	NA	0.9115887513413123	high	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; Low confidence due to sparse method coverage	0.8	1.0	0.8	0.8	1.0
CNV0_02484	0.8385299224541976	0.4293273202965492	10	NA	0.9111914573498088	high	True	High leakage risk invalidates clean benchmark claim	High leakage risk invalidates clean benchmark claim; Low confidence due to sparse method coverage	0.8	1.0	0.8	0.8	1.0
