method_name	method_role	method_family	method_disposition	n_matched_anchor_splits	n_wins_vs_anchor	n_losses_vs_anchor	n_ties_vs_anchor	win_rate_vs_anchor	median_delta_AUPRC_vs_anchor	median_delta_top10_precision_vs_anchor	median_delta_ECE_vs_anchor	source_heldout_median_delta_AUPRC	hla_heldout_median_delta_AUPRC	low_prevalence_median_delta_AUPRC	mean_AUPRC	mean_top10_precision	reviewer_safe_score	recommended_position
W7B_stacked	internal_candidate	ensemble_or_fusion	clean_internal_candidate	29	16	13	0	0.5517241379310345	0.09467384467384454	0.0	-0.017343879698261108	0.1728167702766632	0.09467384467384454	0.1728167702766632	0.6905238146782089	0.8083333333333333	0.8496797851443287	beats anchor in matched split median; still needs source/HLA stress review
W7A_QK_only	bounded_fallback	qk_fallback	bounded_fallback_not_headline	29	21	3	5	0.7241379310344828	0.08829296075285376	0.0	0.049316766362787395	0.08829296075285376	0.09043109668109672	0.08829296075285376	0.7185594821534456	0.8020833333333334	0.8539572600163183	bounded fallback/fusion component
source_balanced_plus_pu_rf_train_prior_calibrated	internal_candidate	classical_biophysical	clean_internal_candidate	23	12	11	0	0.5217391304347826	0.06890852174531914	0.0	-0.09542828246577331	-0.3255866448324813	0.06978657914313902	-0.7714900312167059	0.7835661250612553	0.7801020408163266	0.9468437167489182	beats anchor in matched split median; still needs source/HLA stress review
W7A_full	internal_candidate	classical_biophysical	clean_internal_candidate	29	17	7	5	0.5862068965517241	0.06425056425056408	0.0	0.061472122563081016	0.13851971812246844	0.06425056425056408	0.13851971812246844	0.7105353164970405	0.8177083333333334	0.8682430978334227	beats anchor in matched split median; still needs source/HLA stress review
pu_weighted_rf_train_prior_calibrated	internal_candidate	classical_biophysical	clean_internal_candidate	23	12	11	0	0.5217391304347826	0.05707958895650489	0.0	-0.0924756410887462	-0.3114075840528075	0.06295243278591434	-0.7759109371718592	0.7856412585510668	0.7786734693877552	0.9483819148985622	beats anchor in matched split median; still needs source/HLA stress review
source_balanced_rf_train_prior_calibrated	internal_candidate	classical_biophysical	clean_internal_candidate	23	12	11	0	0.5217391304347826	0.05662699305586183	0.0	-0.09354025523703051	-0.3044377035425872	0.07988369417470698	-0.7681645308211812	0.8018477297085784	0.7886734693877551	0.9677323781140372	beats anchor in matched split median; still needs source/HLA stress review
MHCflurry	caveated_public_comparator	deep_immunogenicity	caveated_public_not_clean_claim	30	15	12	3	0.5	0.014630575376938959	0.0	-0.013976047291339253	0.03626737204581343	-0.0070062212919355105	0.11996684242673561	0.600867866897983	0.81875	0.6690284940705679	field comparator only; public overlap audit required
Stack_mean_E1	internal_candidate	ensemble_or_fusion	clean_internal_candidate	29	14	9	6	0.4827586206896552	0.0013723525149010873	0.0	0.03384473817881069	0.08013052264020282	0.0	0.11831769792044822	0.6547226088365166	0.7927083333333333	0.8113326986546913	beats anchor in matched split median; still needs source/HLA stress review
BigMHC_IM	caveated_public_comparator	deep_immunogenicity	caveated_public_not_clean_claim	30	14	14	2	0.4666666666666667	0.0	0.0	0.0324030024826589	0.10748938932428265	0.033553219267504986	0.10748938932428265	0.6217138229550467	0.771875	0.6757530156388027	field comparator only; public overlap audit required
Stack_LR_inmaster_E3a	internal_candidate	ensemble_or_fusion	clean_internal_candidate	29	14	12	3	0.4827586206896552	0.0	0.0	0.06002505530889829	0.13872586118575425	0.0	0.13872586118575425	0.6557758318401355	0.7958333333333333	0.8114993186777328	does not beat anchor median; retain as comparator or support branch
