rescue_category	rescue_reason_primary	n_candidates	mean_priority_score	mean_top_nn_similarity
T1_survivor	passes BAR-Neo-NG T1 gate	3	0.7230712807572514	0.5555555555555555
hard_block_overlap	exact/near/public overlap or non-watchlist block	69	0.25	0.46141320434798694
recoverable_watchlist	high GA score without exact/near/public overlap	3	0.563030664155723	0.5037037037037037
