candidate_id	exact_peptide_train_overlap	exact_peptide_hla_train_overlap	near_peptide_train_overlap	source_protein_window_train_overlap	study_train_overlap	patient_train_overlap	public_tool_training_overlap_any	public_tool_training_overlap_detail	leakage_risk_level
CNV0_00083	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00084	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00085	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00086	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00087	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00088	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00089	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00090	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00091	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00092	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00093	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00094	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00095	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00096	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00097	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00098	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00099	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00100	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00101	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00102	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00103	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00104	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00105	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00106	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00107	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00108	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00109	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00110	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00111	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00112	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00113	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00114	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00115	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00116	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00117	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00118	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00119	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00120	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00121	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00122	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00123	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00124	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00125	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00126	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00127	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00128	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00129	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00130	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00131	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00132	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00133	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00134	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00135	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00136	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00137	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00138	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00139	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00140	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00141	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00142	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00143	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00144	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00145	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00146	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00147	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00148	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00149	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00150	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
