score	n	apparent_auprc	apparent_auroc	top10_precision	top20_precision	top10_high_leakage_fraction	top20_high_leakage_fraction	interpretation
barneo_score	2715	0.9749960184667467	0.9771599784421827	1.0	1.0	1.0	1.0	raw apparent BAR-Neo score; high label metric but unsafe for clean top-k claims
barneo_x_positive_only_score	2715	0.9634493364121712	0.9658316325629064	1.0	1.0	1.0	1.0	positive evidence only; exposes why penalties are needed
barneo_x_no_penalty_score	2715	0.8591666783038906	0.9201328147087928	0.9	0.85	0.0	0.0	claim gate and metadata cap retained, but component penalties removed
barneo_x_no_leakage_gate_score	2715	0.9356365883968203	0.9387289170730846	0.9	0.95	0.2	0.6	component penalties retained, but high/medium leakage gate removed
barneo_x_no_metadata_cap_score	2715	0.8132746340876406	0.8959600628180662	0.9	0.85	0.0	0.0	component penalties and leakage gate retained, but missing metadata cap removed
barneo_x_claim_safe_score	2715	0.8132746340876406	0.8959600628180662	0.9	0.85	0.0	0.0	full BAR-Neo-X reviewer-facing score
